CHILDCODE	EDCHSTR4	EDGRADER4	TYSCR4	STATER4	DSSCR4	SCHNMER4
51009	13	14	1	3	98	2954
51010	10	11	3	1	1	2933
51010	11	12	3	1	1	2933
51010	12	14	1	1	3	2955
51010	13	14	1	1	3	2955
51011	10	10	1	1	1	934
51011	11	14	1	1	1	2956
51011	12	14	1	1	1	2956
51011	13	14	1	1	1	2956
51012	10	0	 	 	 	 
51012	11	0	 	 	 	 
51012	12	0	 	 	 	 
51012	13	0	 	 	 	 
51013	10	0	 	 	 	 
51013	11	0	 	 	 	 
51013	12	0	 	 	 	 
51013	13	0	 	 	 	 
51014	10	0	 	 	 	 
51014	11	0	 	 	 	 
51014	12	0	 	 	 	 
51014	13	0	 	 	 	 
51015	10	0	 	 	 	 
51015	11	0	 	 	 	 
51015	12	0	 	 	 	 
51015	13	0	 	 	 	 
51016	10	11	3	1	1	2933
51016	11	12	3	1	1	2933
51016	12	15	1	1	1	2957
51016	13	15	1	1	1	2957
51018	10	11	3	1	1	2933
51018	11	12	3	1	1	2933
51018	12	15	1	1	1	2958
51018	13	15	1	1	1	2958
51019	10	0	 	 	 	 
51019	11	0	 	 	 	 
51019	12	0	 	 	 	 
51019	13	0	 	 	 	 
51020	10	11	3	1	1	2959
51020	11	12	3	1	1	2959
51020	12	0	 	 	 	 
51020	13	15	8	1	1	2960
51021	10	0	 	 	 	 
51021	11	0	 	 	 	 
51021	12	0	 	 	 	 
51021	13	0	 	 	 	 
51022	10	11	3	1	1	2961
51022	11	12	3	1	1	2961
51022	12	15	8	1	1	2960
51022	13	15	8	1	1	2960
51023	10	0	 	 	 	 
51023	11	0	 	 	 	 
51023	12	0	 	 	 	 
51023	13	0	 	 	 	 
51024	10	0	 	 	 	 
51024	11	0	 	 	 	 
51024	12	0	 	 	 	 
51024	13	0	 	 	 	 
51025	10	11	8	1	1	2927
51025	11	0	 	 	 	 
51025	12	0	 	 	 	 
51025	13	0	 	 	 	 
51026	10	12	1	1	1	2939
51026	11	15	1	1	1	2939
51026	12	15	1	1	1	2939
51026	13	15	1	1	1	2939
51027	10	11	1	1	1	2917
51027	11	12	1	1	1	2917
51027	12	13	1	1	6	2692
51027	13	13	1	1	6	2692
51028	10	0	 	 	 	 
51028	11	0	 	 	 	 
51028	12	0	 	 	 	 
51028	13	0	 	 	 	 
51029	10	10	1	1	1	934
51029	11	11	1	1	1	2917
51029	12	12	1	1	1	2917
51029	13	14	8	1	98	2963
51030	10	9	1	1	1	956
51030	11	10	1	1	1	956
51030	12	11	1	1	1	2938
51030	13	12	1	1	1	2938
51031	10	12	1	1	1	2927
51031	11	14	3	1	3	2964
51031	12	14	3	1	3	2964
51031	13	15	1	1	1	2965
51032	10	11	1	1	1	2917
51032	11	12	1	1	1	2917
51032	12	15	1	1	1	2966
51032	13	15	1	1	1	2966
51033	10	13	1	1	1	2967
51033	11	13	1	1	1	2967
51033	12	13	1	1	1	2967
51033	13	0	 	 	 	 
51034	10	10	1	1	1	2927
51034	11	11	1	1	1	2927
51034	12	0	 	 	 	 
51034	13	0	 	 	 	 
51035	10	11	3	1	1	2919
51035	11	12	3	1	1	2919
51035	12	15	3	1	1	2968
51035	13	15	3	1	1	2968
51036	10	11	1	1	1	2927
51036	11	12	1	1	1	2927
51036	12	15	1	1	1	2965
51036	13	15	1	1	1	2965
51037	10	11	1	1	1	2969
51037	11	12	1	1	1	2969
