childid	country	round	yc	math	group
ET141049	1	2	0	503.350067138672	1
ET141050	1	2	0	422.900268554688	1
ET151002	1	2	0	395.928497314453	1
ET151004	1	2	0	385.020843505859	1
ET151010	1	2	0	629.047485351563	1
ET151012	1	2	0	424.639068603516	1
ET151014	1	2	0	420.174468994141	1
ET151015	1	2	0	387.558898925781	1
ET151016	1	2	0	451.638977050781	1
ET151019	1	2	0	322.714996337891	1
ET151020	1	2	0	447.243530273438	1
ET151021	1	2	0	402.207550048828	1
ET151023	1	2	0	407.720306396484	1
ET151024	1	2	0	390.852203369141	1
ET151025	1	2	0	466.325012207031	1
ET151026	1	2	0	385.433471679688	1
ET151027	1	2	0	341.084838867188	1
ET151028	1	2	0	423.015777587891	1
ET151029	1	2	0	355.403900146484	1
ET151030	1	2	0	443.408447265625	1
ET151033	1	2	0	490.902893066406	1
ET151034	1	2	0	299.750091552734	1
ET151035	1	2	0	529.496826171875	1
ET151039	1	2	0	227.777267456055	1
ET151041	1	2	0	427.50927734375	1
ET151042	1	2	0	371.602844238281	1
ET151043	1	2	0	403.990417480469	1
ET151044	1	2	0	464.865020751953	1
ET151045	1	2	0	558.189392089844	1
ET151051	1	2	0	400.390167236328	1
ET151052	1	2	0	350.780334472656	1
ET151053	1	2	0	637.675842285156	1
ET151054	1	2	0	355.875610351563	1
ET151056	1	2	0	442.336853027344	1
ET151057	1	2	0	347.260589599609	1
ET151058	1	2	0	348.482971191406	1
ET151059	1	2	0	242.224563598633	1
ET151064	1	2	0	371.666015625	1
ET151066	1	2	0	546.24951171875	1
ET151067	1	2	0	333.060119628906	1
ET151068	1	2	0	506.626037597656	1
ET161001	1	2	0	453.092468261719	1
ET161003	1	2	0	254.075073242188	1
ET161004	1	2	0	458.50244140625	1
