commid	rsid	module	section	module2	section2	module3	section3	ageres	sexres	capac	livres
VN006	8	1	4	 	 	 	 	36	1	8	36
VN006	9	1	5	 	 	 	 	56	1	8	50
VN006	10	2	 	 	 	 	 	31	1	4	10
VN006	11	2	3	 	 	 	 	31	1	4	10
VN004	1	1	2	 	1	 	6	35	1	1	35
VN008	14	1	4	2	3	 	 	42	2	8	42
VN008	15	2	3	 	5	 	 	37	2	4	33
VN012	11	2	3	 	 	 	 	40	2	10	20
VN012	12	2	1	 	3	 	 	31	1	8	31
VN012	13	1	3	 	 	 	 	35	2	8	35
VN012	14	1	4	 	 	 	 	33	1	8	33
VN012	15	2	4	 	 	 	 	54	2	8	54
VN012	16	2	1	 	3	 	 	56	2	8	56
VN012	17	2	4	 	 	 	 	40	2	8	40
VN009	1	1	1	 	 	 	 	46	1	1	46
VN009	2	1	2	 	3	2	2	41	1	2	41
VN009	3	1	1	 	4	 	6	48	1	2	48
VN009	4	1	1	 	2	 	3	45	1	2	45
VN009	5	1	2	 	3	2	4	35	2	3	15
VN009	6	2	1	 	 	 	 	40	1	4	21
VN009	7	2	1	 	2	 	 	47	2	4	30
VN009	8	2	1	 	2	 	 	39	1	4	18
VN009	9	2	1	 	2	 	3	42	2	4	42
VN009	10	1	4	2	6	 	5	65	2	8	65
VN009	11	2	4	 	 	 	 	32	2	10	29
VN009	12	2	4	 	5	 	 	38	1	8	38
VN009	13	2	3	 	 	 	 	36	1	8	36
VN009	14	2	1	 	 	 	 	44	2	10	44
VN009	15	1	4	 	6	2	1	46	1	8	46
VN009	16	2	1	 	3	 	 	34	2	8	34
VN009	17	2	4	 	 	 	 	35	2	8	35
VN010	1	1	1	2	3	 	6	48	1	1	48
VN010	2	1	1	 	2	2	3	29	1	1	29
VN010	3	1	4	 	5	 	6	49	2	2	4
VN010	4	1	1	2	4	 	 	49	1	8	18
VN010	5	1	3	2	5	 	 	44	2	6	44
VN010	6	2	1	 	5	 	 	25	1	8	25
VN010	7	1	2	 	3	2	6	52	1	8	52
VN010	8	1	1	 	2	2	3	31	2	8	31
VN010	9	2	3	 	 	 	 	36	2	4	36
VN010	10	2	1	 	 	 	 	50	2	4	46
VN010	11	2	1	 	3	 	 	46	1	4	42
VN010	12	1	1	 	4	2	6	40	2	8	40
VN010	13	2	4	 	 	 	 	41	2	3	12
VN010	14	1	4	 	6	2	1	37	1	8	35
VN010	15	2	4	 	 	 	 	65	2	8	65
VN004	2	2	1	 	 	 	 	29	1	2	7
VN004	3	1	6	 	1	 	 	29	1	1	29
VN004	4	1	2	 	5	 	 	23	2	6	23
VN004	5	2	3	 	2	 	 	23	2	2	23
VN004	6	1	5	 	3	 	 	25	2	2	25
VN004	7	1	1	 	 	 	 	30	1	1	2
VN004	8	2	3	 	 	 	 	41	1	4	19
VN004	9	1	6	 	 	 	 	46	1	8	17
VN004	10	1	4	 	 	 	 	36	1	8	36
VN004	11	2	4	 	5	 	 	50	1	3	50
VN004	12	2	3	 	 	 	 	37	1	4	12
VN005	1	1	1	 	2	 	3	46	1	1	32
VN005	2	1	3	 	1	2	4	46	1	2	30
VN005	3	1	6	 	4	2	1	36	2	3	66
VN005	4	1	1	2	5	 	 	47	1	1	20
VN005	5	1	4	 	1	2	5	26	2	6	66
VN005	6	2	3	1	1	 	 	43	1	4	32
VN005	7	2	3	 	5	 	1	50	1	8	32
VN003	1	 	 	 	 	 	 	46	1	1	31
VN003	2	 	 	 	 	 	 	35	2	1	11
VN003	3	 	 	 	 	 	 	33	2	1	-66
VN003	4	 	 	 	 	 	 	28	2	1	-66
VN003	5	 	 	 	 	 	 	52	1	1	-66
VN003	6	 	 	 	 	 	 	30	2	8	17
VN003	7	 	 	 	 	 	 	43	1	1	2
VN008	1	1	1	 	2	 	3	41	1	1	41
VN035	6	1	3	 	4	2	5	38	2	1	38
VN035	7	2	1	 	 	 	 	30	1	1	30
VN035	8	 	 	 	 	 	 	34	2	10	34
VN035	9	1	1	 	6	2	2	47	1	8	8
VN035	10	1	2	1	1	2	5	41	1	8	41
VN035	11	2	1	 	3	 	 	52	1	4	22
VN035	12	1	2	 	6	2	5	38	2	8	38
VN035	13	1	3	1	4	2	2	42	2	8	11
VN035	14	2	4	 	 	 	 	42	2	3	15
VN036	1	1	1	 	 	 	 	36	1	1	36
VN036	2	1	1	 	2	 	3	50	1	1	50
VN036	3	1	3	 	6	2	3	36	1	8	6
VN036	4	1	2	 	6	2	3	26	2	8	28
VN036	5	1	1	 	 	 	 	35	1	1	35
VN036	6	2	1	 	3	 	 	29	2	4	11
VN036	7	2	1	 	 	 	 	34	2	4	34
VN036	8	1	2	 	 	 	 	35	2	6	30
VN036	9	1	2	 	3	2	1	33	1	4	33
VN036	10	2	4	 	 	 	 	46	1	3	46
VN036	11	1	1	 	 	 	 	25	1	1	25
VN036	12	 	 	 	 	 	 	41	2	10	41
VN036	13	1	4	2	1	 	5	47	1	8	47
VN036	14	1	4	 	1	2	5	29	2	8	29
VN036	15	 	 	 	 	 	 	52	2	4	29
VN036	99	 	 	 	 	 	 	99	99	99	99
VN036	88	 	 	 	 	 	 	99	99	99	99
VN007	1	1	1	 	2	2	3	53	1	2	53
VN007	2	1	1	 	2	2	3	53	1	1	53
VN007	3	1	1	 	3	 	 	24	1	2	24
VN007	4	1	3	2	5	 	 	28	2	1	28
VN007	5	1	3	2	1	 	 	24	2	2	24
VN007	6	1	3	 	5	2	4	54	1	8	24
VN007	7	1	3	 	5	2	4	24	2	8	24
VN007	8	1	5	2	4	 	 	43	1	3	4
VN007	9	1	1	 	2	2	3	40	1	2	40
VN007	10	2	3	 	 	 	 	55	1	8	55
