PLACEID	PRGIDR4	CURRPROG	PROGSTOP
36	44	0	88
36	45	1	 
36	46	1	 
36	47	1	 
36	50	0	88
36	51	1	 
36	52	1	 
36	53	1	 
36	55	1	 
36	62	1	 
36	63	0	88
36	65	1	 
36	66	1	 
36	67	1	 
36	68	1	 
37	10	1	 
37	11	1	 
37	12	0	88
37	13	1	 
37	15	1	 
37	16	1	 
37	17	1	 
37	18	1	 
37	21	1	 
37	24	1	 
37	25	1	 
37	26	1	 
37	27	1	 
37	29	1	 
37	34	0	88
37	35	1	 
37	37	0	88
37	38	1	 
37	39	0	88
37	40	1	 
37	44	0	88
37	45	1	 
37	46	1	 
37	47	1	 
37	50	0	88
37	51	1	 
37	52	1	 
37	53	1	 
37	55	1	 
37	62	1	 
37	63	0	88
37	65	1	 
37	66	1	 
37	67	1	 
37	68	1	 
38	10	1	 
38	11	1	 
38	12	1	 
38	13	1	 
38	15	1	 
38	16	1	 
38	17	1	 
38	18	1	 
38	21	1	 
38	24	1	 
38	25	1	 
38	26	1	 
38	27	1	 
38	29	1	 
38	34	0	88
38	35	1	 
38	37	0	88
38	38	0	88
38	39	0	88
38	40	1	 
38	44	0	88
38	45	1	 
38	46	1	 
38	47	1	 
38	50	0	88
38	51	1	 
38	52	1	 
38	53	1	 
38	55	1	 
38	62	1	 
38	63	0	88
38	65	1	 
38	66	1	 
38	67	1	 
38	68	1	 
40	10	1	 
40	11	1	 
40	12	1	 
40	13	1	 
40	15	1	 
40	16	1	 
40	17	1	 
40	18	1	 
40	21	1	 
40	24	1	 
40	25	1	 
40	26	1	 
40	27	1	 
40	29	1	 
40	34	0	77
40	35	1	 
40	37	0	77
40	38	1	 
40	39	1	 
40	40	1	 
40	44	0	77
40	45	1	 
40	46	1	 
40	47	1	 
40	50	1	 
40	51	1	 
40	52	1	 
40	53	1	 
40	55	1	 
40	62	1	 
40	63	0	77
40	65	1	 
40	66	0	77
40	67	1	 
40	68	1	 
41	10	1	 
41	11	1	 
41	12	1	 
41	13	1	 
41	15	1	 
41	16	1	 
41	17	1	 
41	18	1	 
41	21	1	 
41	24	1	 
41	25	1	 
41	26	1	 
41	27	1	 
41	29	1	 
41	34	0	88
41	35	1	 
41	37	1	 
41	38	1	 
41	39	1	 
41	40	1	 
41	44	0	88
41	45	1	 
41	46	1	 
41	47	1	 
41	50	0	88
41	51	1	 
41	52	1	 
41	53	1	 
41	55	1	 
41	62	1	 
41	63	0	88
41	65	1	 
41	66	1	 
41	67	1	 
41	68	1	 
42	10	1	 
42	11	1	 
42	12	1	 
42	13	1	 
42	15	1	 
42	16	1	 
42	17	1	 
42	18	1	 
42	21	1	 
42	24	1	 
42	25	1	 
42	26	1	 
42	27	1	 
42	29	1	 
42	34	0	88
42	35	1	 
42	37	0	88
42	38	0	88
42	39	0	88
42	40	1	 
42	44	0	88
42	45	1	 
42	46	1	 
42	47	1	 
42	50	0	88
42	51	1	 
42	52	1	 
42	53	1	 
42	55	1	 
42	62	1	 
42	63	0	88
42	65	1	 
42	66	1	 
42	67	1	 
42	68	1	 
43	10	1	 
43	11	1	 
43	12	1	 
43	13	1	 
43	15	1	 
43	16	1	 
43	17	1	 
43	18	1	 
43	21	1	 
43	24	1	 
43	25	1	 
43	26	1	 
43	27	1	 
43	29	1	 
43	34	0	88
43	35	1	 
43	37	1	 
43	38	1	 
43	39	0	88
43	40	1	 
43	44	0	88
43	45	1	 
43	46	1	 
43	47	0	88
43	50	0	88
43	51	1	 
43	52	1	 
43	53	1	 
43	55	1	 
43	62	1	 
43	63	0	88
43	65	1	 
43	66	1	 
43	67	1	 
43	68	1	 
44	10	1	 
44	11	1	 
44	12	1	 
44	13	1	 
44	15	1	 
44	16	1	 
44	17	1	 
44	18	1	 
44	21	1	 
44	24	1	 
44	25	1	 
44	26	1	 
44	27	1	 
44	29	1	 
44	34	0	88
44	35	1	 
44	37	1	 
44	38	0	88
44	39	0	88
44	40	1	 
44	44	0	88
44	45	1	 
44	46	1	 
44	47	1	 
44	50	0	88
44	51	1	 
44	52	1	 
44	53	1	 
44	55	1	 
44	62	1	 
44	63	0	88
44	65	1	 
44	66	1	 
44	67	1	 
44	68	1	 
45	10	1	 
45	11	1	 
45	12	1	 
45	13	1	 
45	15	1	 
45	16	1	 
45	17	1	 
45	18	1	 
45	21	1	 
45	24	1	 
45	25	1	 
45	26	1	 
45	27	1	 
45	29	1	 
45	34	0	88
45	35	1	 
45	37	0	88
45	38	1	 
45	39	1	 
45	40	1	 
45	44	0	88
45	45	0	88
45	46	0	88
45	47	1	 
45	50	0	88
45	51	1	 
45	52	1	 
45	53	1	 
45	55	1	 
45	62	1	 
45	63	0	88
45	65	1	 
45	66	1	 
45	67	1	 
45	68	1	 
46	10	1	 
46	11	1	 
46	12	1	 
46	13	1	 
46	15	1	 
46	16	1	 
46	17	1	 
46	18	1	 
46	21	1	 
46	24	1	 
46	25	1	 
46	26	1	 
46	27	1	 
46	29	1	 
46	34	0	88
46	35	1	 
46	37	1	 
46	38	1	 
46	39	0	88
46	40	1	 
46	44	0	88
46	45	1	 
46	46	1	 
46	47	1	 
46	50	0	88
46	51	1	 
46	52	1	 
46	53	1	 
46	55	1	 
46	62	1	 
46	63	0	88
46	65	1	 
46	66	1	 
46	67	1	 
46	68	1	 
47	10	1	 
47	11	1	 
47	12	1	 
47	13	0	88
47	15	1	 
47	16	0	88
47	17	1	 
47	18	1	 
47	21	1	 
47	24	1	 
47	25	1	 
47	26	1	 
47	27	1	 
47	29	0	88
47	34	0	88
47	35	1	 
47	37	1	 
47	38	1	 
47	39	1	 
47	40	1	 
47	44	0	88
47	45	0	88
47	46	0	88
47	47	1	 
47	50	0	88
47	51	1	 
47	52	1	 
47	53	1	 
47	55	1	 
47	62	1	 
47	63	0	88
47	65	1	 
47	66	1	 
47	67	1	 
47	68	1	 
48	10	1	 
48	11	0	88
48	12	1	 
48	13	0	88
48	15	0	88
48	16	0	88
48	17	1	 
48	18	0	88
48	21	1	 
48	24	1	 
48	25	1	 
48	26	1	 
48	27	0	88
48	29	0	88
48	34	1	 
48	35	1	 
48	37	1	 
48	38	1	 
48	39	0	88
48	40	1	 
48	44	0	88
48	45	1	 
48	46	0	88
48	47	0	88
48	50	0	88
48	51	0	88
48	52	0	88
48	53	0	88
48	55	0	88
48	62	1	 
48	63	0	88
48	65	1	 
48	66	1	 
48	67	1	 
48	68	1	 
49	10	1	 
49	11	1	 
49	12	1	 
49	13	0	77
49	15	1	 
49	16	0	77
49	17	1	 
49	18	1	 
49	21	1	 
49	24	1	 
49	25	1	 
49	26	1	 
49	27	1	 
49	29	1	 
49	34	1	 
49	35	1	 
49	37	1	 
49	38	1	 
49	39	1	 
49	40	1	 
49	44	0	77
49	45	1	 
49	46	1	 
49	47	1	 
49	50	0	77
49	51	1	 
49	52	1	 
49	53	1	 
49	55	1	 
49	62	1	 
49	63	0	77
49	65	1	 
49	66	1	 
49	67	1	 
49	68	1	 
50	10	1	 
50	11	1	 
50	12	1	 
50	13	0	88
50	15	0	88
50	16	0	88
50	17	1	 
50	18	0	88
50	21	1	 
50	24	1	 
50	25	1	 
50	26	1	 
50	27	1	 
50	29	1	 
50	34	0	88
50	35	1	 
50	37	0	88
50	38	0	88
50	39	0	88
50	40	1	 
50	44	0	88
50	45	0	88
50	46	0	88
50	47	1	 
50	50	0	88
50	51	1	 
50	52	1	 
50	53	1	 
50	55	1	 
50	62	1	 
50	63	0	88
50	65	0	88
50	66	0	88
50	67	0	88
50	68	1	 
51	10	1	 
51	11	1	 
51	12	1	 
51	13	0	88
51	15	0	88
51	16	0	88
51	17	1	 
51	18	0	88
51	21	1	 
51	24	1	 
51	25	1	 
51	26	1	 
51	27	1	 
