CHILDID	ACTID	ACTYEST	ACTSUPER	ACTCARE	CHOICE
VN041041	3	10	0	0	1
VN041041	4	12	0	0	1
VN041042	1	5	0	0	1
VN041042	2	2	0	0	1
VN041042	3	1	0	0	1
VN041042	4	12	0	0	1
VN041043	1	1	0	0	0
VN041043	2	2	0	0	1
VN041043	3	5	0	0	1
VN041043	4	10	0	0	1
VN041043	5	12	0	0	1
VN041046	1	1	1	0	1
VN041046	2	2	0	0	1
VN041046	3	5	0	0	0
VN041046	4	10	0	0	1
VN041047	1	2	0	0	1
VN041047	2	1	1	0	0
VN041047	3	7	0	0	1
VN041047	4	10	0	0	1
VN041047	5	5	0	0	0
VN041049	1	2	0	0	1
VN041049	2	10	0	0	1
VN041049	3	1	0	0	1
VN041049	4	8	0	0	1
VN041050	1	2	0	1	1
VN041050	2	1	1	0	1
VN041050	3	12	1	0	1
VN041059	1	5	0	0	1
VN041059	2	2	0	0	1
VN041059	3	1	0	0	1
VN041092	1	5	1	0	1
VN041092	2	2	0	0	1
VN041092	3	1	0	0	1
VN041092	4	12	0	0	1
VN041092	5	10	0	0	1
VN041106	1	5	0	1	1
VN041106	2	2	0	1	1
VN041106	3	1	0	0	1
VN041106	4	3	0	0	1
VN041109	1	1	1	0	0
VN041109	2	2	1	0	1
VN041109	3	3	0	0	1
VN041109	4	5	1	1	1
VN041110	1	1	0	0	1
VN041110	2	10	0	0	1
VN041110	3	2	0	0	1
VN041114	1	1	0	0	0
VN041114	2	2	1	0	1
VN041114	3	5	0	0	1
VN041114	4	6	1	0	1
VN041114	5	12	0	0	1
VN041114	6	10	0	0	1
VN041130	1	3	1	1	1
VN041130	2	1	1	0	1
VN041130	3	12	0	0	1
VN041130	4	2	0	0	1
VN051001	1	1	1	0	0
VN051001	2	1	1	0	0
VN051001	3	5	0	0	0
VN051001	4	17	0	0	1
VN051002	1	1	1	0	0
VN051002	2	2	0	0	1
VN051002	3	5	0	0	1
VN051002	4	12	0	0	1
VN051003	1	1	1	0	0
VN051003	2	2	0	0	1
VN051003	3	5	0	0	1
VN051003	4	12	0	0	1
VN051004	1	1	1	0	0
VN051004	2	2	0	0	1
VN051004	3	5	1	0	1
VN051004	4	10	0	0	0
VN051005	1	1	1	0	0
VN051005	2	2	0	0	1
VN051005	3	5	0	0	1
VN051005	4	12	0	0	1
VN051005	5	4	0	0	1
VN051006	1	1	1	0	0
VN051006	2	12	0	0	1
