CHILDCODE	FOODIDR5	HHCONSR5	VLRPR5	OWNVR5	GFTVR5	GFSRR5
10031	15	1	25	0	0	 
10031	16	1	25	0	0	 
10031	17	0	 	 	 	 
10031	18	1	30	0	0	 
10031	19	1	100	0	0	 
10031	20	0	 	 	 	 
10031	21	1	70	0	0	 
10031	24	0	 	 	 	 
10032	0	0	 	 	 	 
10032	1	0	 	 	 	 
10032	2	1	150	0	0	 
10032	3	1	100	0	0	 
10032	4	0	 	 	 	 
10032	5	0	 	 	 	 
10032	6	1	40	0	0	 
10032	7	0	 	 	 	 
10032	8	0	 	 	 	 
10032	9	1	70	0	0	 
10032	10	0	 	 	 	 
10032	11	1	20	0	0	 
10032	12	1	20	0	0	 
10032	13	1	50	0	0	 
10032	14	1	20	0	0	 
10032	15	1	25	0	0	 
10032	16	0	 	 	 	 
10032	17	0	 	 	 	 
10032	18	0	 	 	 	 
10032	19	1	165	0	0	 
10032	20	0	 	 	 	 
10032	21	1	75	0	0	 
10032	24	0	 	 	 	 
10033	0	1	30	0	0	 
10033	1	1	20	0	0	 
10033	2	1	100	300	0	 
10033	3	0	 	 	 	 
10033	4	0	 	 	 	 
10033	5	1	50	0	0	 
10033	6	1	400	50	0	 
10033	7	0	 	 	 	 
10033	8	0	 	 	 	 
10033	9	1	200	0	0	 
10033	10	0	 	 	 	 
10033	11	1	10	5	0	 
10033	12	1	30	30	0	 
10033	13	1	50	0	0	 
10033	14	1	40	0	0	 
10033	15	1	15	0	0	 
10033	16	0	 	 	 	 
10033	17	0	 	 	 	 
10033	18	1	30	0	0	 
10033	19	1	40	0	0	 
10033	20	0	 	 	 	 
10033	21	1	30	0	0	 
10033	24	0	 	 	 	 
10034	0	0	 	 	 	 
10034	1	0	 	 	 	 
10034	2	1	40	200	0	 
10034	3	1	15	0	0	 
10034	4	0	 	 	 	 
10034	5	1	20	0	0	 
10034	6	1	200	0	0	 
10034	7	0	 	 	 	 
10034	8	0	 	 	 	 
10034	9	1	70	20	0	 
10034	10	0	 	 	 	 
10034	11	1	20	10	0	 
10034	12	1	10	30	0	 
10034	13	1	30	0	0	 
10034	14	1	20	7	0	 
10034	15	1	10	0	0	 
10034	16	1	12	0	0	 
10034	17	0	 	 	 	 
10034	18	1	50	0	0	 
10034	19	0	 	 	 	 
10034	20	1	45	20	0	 
10034	21	0	 	 	 	 
10034	24	0	 	 	 	 
10035	0	0	 	 	 	 
10035	1	0	 	 	 	 
10035	2	1	50	180	0	 
10035	3	1	50	0	0	 
10035	4	0	 	 	 	 
10035	5	0	 	 	 	 
10035	6	1	230	0	0	 
10035	7	0	 	 	 	 
10035	8	1	110	0	0	 
10035	9	1	60	0	0	 
10035	10	0	 	 	 	 
10035	11	1	45	0	0	 
10035	12	1	25	30	0	 
10035	13	1	60	0	0	 
10035	14	1	15	0	0	 
10035	15	1	10	0	0	 
10035	16	1	8	0	0	 
10035	17	0	 	 	 	 
10035	18	1	35	0	0	 
10035	19	1	90	0	0	 
10035	20	1	110	0	0	 
10035	21	1	225	0	0	 
10035	24	0	 	 	 	 
10036	0	1	35	0	0	 
10036	1	0	 	 	 	 
10036	2	1	0	300	0	 
10036	3	1	70	0	0	 
10036	4	0	 	 	 	 
10036	5	1	30	0	0	 
10036	6	1	450	0	0	 
10036	7	0	 	 	 	 
10036	8	1	60	0	0	 
10036	9	1	300	0	0	 
10036	10	0	 	 	 	 
10036	11	1	60	0	0	 
10036	12	1	75	25	0	 
10036	13	1	100	0	0	 
10036	14	1	25	0	0	 
10036	15	0	 	 	 	 
10036	16	1	20	0	0	 
10036	17	0	 	 	 	 
10036	18	1	50	0	0	 
10036	19	1	45	0	0	 
10036	20	0	 	 	 	 
10036	21	1	50	0	0	 
10036	24	0	 	 	 	 
10037	0	0	 	 	 	 
10037	1	1	20	0	0	 
10037	2	1	30	100	0	 
10037	3	1	200	0	0	 
10037	4	0	 	 	 	 
10037	5	1	20	0	0	 
10037	6	1	150	0	0	 
10037	7	0	 	 	 	 
10037	8	0	 	 	 	 
10037	9	1	150	0	0	 
10037	10	0	 	 	 	 
10037	11	1	30	0	0	 
10037	12	1	30	0	10	1
10037	13	1	0	0	30	1
10037	14	1	50	0	0	 
10037	15	1	25	0	0	 
10037	16	1	20	0	0	 
10037	17	0	 	 	 	 
10037	18	0	 	 	 	 
10037	19	1	100	0	0	 
10037	20	0	 	 	 	 
10037	21	1	120	0	0	 
10037	24	0	 	 	 	 
10038	0	1	20	0	0	 
10038	1	0	 	 	 	 
10038	2	1	30	100	0	 
10038	3	1	70	0	0	 
10038	4	0	 	 	 	 
10038	5	1	30	0	0	 
10038	6	1	300	0	0	 
10038	7	0	 	 	 	 
10038	8	1	75	0	0	 
10038	9	1	250	0	0	 
10038	10	0	 	 	 	 
10038	11	1	30	0	0	 
10038	12	1	30	0	0	 
10038	13	1	60	0	0	 
10038	14	1	50	0	0	 
10038	15	1	25	0	0	 
10038	16	1	20	0	0	 
10038	17	0	 	 	 	 
10038	18	1	45	0	0	 
10038	19	1	200	0	0	 
10038	20	0	 	 	 	 
10038	21	1	250	0	0	 
10038	24	0	 	 	 	 
10039	0	0	 	 	 	 
10039	1	0	 	 	 	 
10039	2	1	60	360	0	 
10039	3	1	100	0	0	 
10039	4	0	 	 	 	 
10039	5	0	 	 	 	 
10039	6	1	450	0	0	 
10039	7	0	 	 	 	 
10039	8	0	 	 	 	 
10039	9	1	470	0	0	 
10039	10	0	 	 	 	 
10039	11	1	70	0	0	 
10039	12	1	35	15	0	 
10039	13	1	70	0	0	 
10039	14	1	100	0	0	 
10039	15	1	43	0	0	 
10039	16	1	12	0	0	 
10039	17	0	 	 	 	 
10039	18	0	 	 	 	 
10039	19	1	35	0	0	 
10039	20	1	100	0	0	 
10039	21	1	240	0	0	 
10039	24	0	 	 	 	 
10040	0	0	 	 	 	 
10040	1	0	 	 	 	 
10040	2	1	0	120	0	 
10040	3	1	10	0	0	 
10040	4	0	 	 	 	 
10040	5	0	 	 	 	 
10040	6	1	100	0	0	 
10040	7	0	 	 	 	 
10040	8	1	120	0	0	 
10040	9	1	350	0	0	 
10040	10	0	 	 	 	 
10040	11	1	25	0	0	 
10040	12	1	45	0	0	 
