CHILDID	PLANID	PLAN
IN080004	1	6
IN080004	2	10
IN080005	1	8
IN080006	1	10
IN080006	2	7
IN080007	1	1
IN080007	2	2
IN080008	1	10
IN080009	1	3
IN080009	2	8
IN080010	1	3
IN080010	2	8
IN080011	1	10
IN080011	2	3
IN080012	1	8
IN080012	2	2
IN080013	1	8
IN080014	1	2
IN080014	2	8
IN080015	1	7
IN080015	2	1
IN080016	1	10
IN080017	1	8
IN080017	2	6
IN080018	1	8
IN080019	1	8
IN080019	2	10
IN080020	1	1
IN080020	2	2
IN080021	1	8
IN080022	1	10
IN080022	2	8
IN080023	1	10
IN080023	2	8
IN080024	1	3
IN080024	2	8
IN080025	1	1
IN080025	2	2
IN080026	1	8
IN080027	1	8
IN080029	1	7
IN080030	1	7
IN080030	2	10
IN080031	1	8
IN080031	2	10
IN080032	1	7
IN080032	2	10
IN080033	1	1
IN080034	1	3
IN080034	2	10
IN080035	1	8
IN080035	2	10
IN080036	1	10
IN080037	1	1
IN080038	1	8
IN080038	2	10
IN080039	1	10
IN080039	2	8
IN080040	1	8
IN080040	2	10
IN080041	1	8
IN080041	2	10
IN080042	1	8
IN080042	2	10
IN080043	1	8
IN080043	2	10
IN080044	1	10
IN080044	2	7
IN080045	1	8
IN080045	2	10
IN080046	1	10
IN080046	2	10
IN080047	1	10
IN080047	2	8
IN080048	1	4
IN080048	2	10
IN080049	1	10
IN080049	2	8
IN080050	1	6
IN080050	2	5
IN080051	1	1
IN080051	2	8
IN080052	1	10
IN080052	2	7
IN080053	1	7
IN080053	2	10
IN080054	1	10
IN080054	2	2
IN080055	1	6
IN080056	1	1
IN080057	1	3
IN080057	2	10
IN080058	1	5
IN080058	2	10
IN080059	1	4
IN080060	1	10
IN080060	2	2
IN080061	1	10
IN080061	2	7
IN080062	1	8
IN080062	2	10
IN080063	1	8
IN080063	2	1
IN080064	1	8
IN080065	1	8
IN080066	1	8
IN080066	2	10
IN080067	1	8
IN080067	2	10
IN080068	1	3
IN080068	2	10
IN080069	1	10
IN080070	1	1
IN080071	1	1
IN080072	1	8
IN080073	1	7
IN080073	2	10
IN080074	1	10
IN080074	2	7
IN080075	1	7
IN080075	2	10
