comnro	services	seraval	serchng	serdis	sertme
64	3	2	8	88	88
64	4	2	8	88	88
64	5	2	8	88	88
64	6	1	3	0	2
64	7	2	8	88	88
64	8	2	8	88	88
64	9	2	8	88	88
64	10	1	1	5	60
64	11	1	1	0	10
64	12	2	8	88	88
64	13	2	8	88	88
64	14	2	8	88	88
64	15	2	8	88	88
64	16	2	8	88	88
65	1	2	8	88	88
65	2	2	8	88	88
65	3	2	8	88	88
65	4	2	8	88	88
65	5	2	8	88	88
65	6	1	3	0	2
65	7	1	3	0	2
65	8	2	8	88	88
65	9	1	3	0	3
65	10	1	3	0	3
65	11	1	2	0	3
65	12	2	8	88	88
65	13	2	8	88	88
65	14	2	8	88	88
65	15	2	8	88	88
65	16	2	8	88	88
66	1	2	8	88	88
66	2	2	8	88	88
66	3	2	8	88	88
66	4	1	1	0	3
66	5	2	8	88	88
66	6	2	8	88	88
66	7	2	8	88	88
66	8	2	8	88	88
66	9	2	8	88	88
66	10	1	3	3	2
66	11	1	3	4	1
66	12	2	8	88	88
66	13	2	8	88	88
66	14	2	8	88	88
66	15	2	8	88	88
66	16	2	8	88	88
67	1	2	8	88	88
67	2	2	8	88	88
67	3	2	8	88	88
67	4	1	1	0	2
67	5	2	8	88	88
67	6	1	3	0	3
67	7	1	1	0	3
67	8	2	8	88	88
67	9	1	3	6	60
67	10	1	1	9	90
67	11	1	1	3	30
67	12	2	8	88	88
67	13	2	8	88	88
67	14	2	8	88	88
67	15	2	8	88	88
67	16	2	8	88	88
68	1	2	8	88	88
68	2	2	8	88	88
68	3	2	8	88	88
68	4	2	8	88	88
68	5	2	8	88	88
68	6	1	1	0	3
68	7	1	2	0	5
68	8	2	8	88	88
68	9	1	3	0	5
68	10	1	3	0	5
68	11	1	2	0	5
68	12	2	8	88	88
68	13	2	8	88	88
68	14	2	8	88	88
68	15	2	8	88	88
68	16	2	8	88	88
69	1	2	8	88	88
69	2	2	8	88	88
69	3	2	8	88	88
69	4	1	1	0	20
69	5	2	8	88	88
69	6	1	2	0	10
69	7	1	1	0	10
69	8	2	8	88	88
69	9	1	1	0	8
69	10	1	3	0	8
69	11	1	3	0	8
69	12	2	8	88	88
69	13	2	8	88	88
69	14	2	8	88	88
69	15	2	8	88	88
69	16	2	8	88	88
70	1	1	1	0	5
70	2	2	8	88	88
70	3	2	8	88	88
70	4	1	2	0	5
70	5	1	3	0	5
70	6	1	1	0	5
70	7	1	1	5	5
70	8	1	1	0	88
70	9	1	2	0	88
70	10	1	1	0	10
70	11	1	2	0	0
70	12	2	8	88	88
70	13	2	8	88	88
70	14	2	8	88	88
70	15	2	8	88	88
70	16	2	8	88	88
71	1	2	8	88	88
71	2	2	8	88	88
71	3	2	8	88	88
71	4	1	3	0	5
71	5	2	8	88	88
71	6	1	1	0	5
71	7	1	1	0	2
71	8	1	1	0	2
71	9	1	3	0	2
71	10	1	3	0	2
71	11	1	2	0	2
71	12	2	8	8	2
71	13	2	8	8	2
71	14	2	8	8	2
71	15	2	8	8	2
71	16	2	8	8	2
72	1	2	8	88	88
72	2	2	8	88	88
72	3	2	8	88	88
72	4	2	8	88	88
72	5	2	8	88	88
72	6	1	1	0	2
72	7	1	3	0	1
72	8	2	8	88	88
72	9	2	8	88	88
72	10	1	3	0	5
72	11	2	8	88	88
72	12	2	8	88	88
72	13	2	8	88	88
72	14	2	8	88	88
72	15	2	8	88	88
72	16	2	8	88	88
73	1	1	1	0	5
73	2	2	8	88	88
73	3	2	8	88	88
