CHILDCODE	SCSTIDR4	FEESR4	PAYPERR4	NUMPERR4
48010	6	 	 	 
48010	7	 	 	 
48010	8	 	 	 
48011	1	 	 	 
48011	2	 	 	 
48011	3	 	 	 
48011	4	 	 	 
48011	5	 	 	 
48011	6	 	 	 
48011	7	 	 	 
48011	8	 	 	 
48013	1	 	 	 
48013	2	 	 	 
48013	3	 	 	 
48013	4	 	 	 
48013	5	 	 	 
48013	6	 	 	 
48013	7	 	 	 
48013	8	 	 	 
48014	1	 	 	 
48014	2	 	 	 
48014	3	 	 	 
48014	4	 	 	 
48014	5	 	 	 
48014	6	 	 	 
48014	7	 	 	 
48014	8	 	 	 
48015	1	20	3	1
48015	2	50	2	8
48015	3	-88	88	-88
48015	4	-88	88	-88
48015	5	-88	88	-88
48015	6	-88	88	-88
48015	7	-88	88	-88
48015	8	60	3	2
48016	1	 	 	 
48016	2	 	 	 
48016	3	 	 	 
48016	4	 	 	 
48016	5	 	 	 
48016	6	 	 	 
48016	7	 	 	 
48016	8	 	 	 
48017	1	350	6	1
48017	2	0	88	0
48017	3	80	6	2
48017	4	0	88	0
48017	5	0	88	0
48017	6	100	2	6
48017	7	3000	5	1
48017	8	300	2	6
48018	1	 	 	 
48018	2	 	 	 
48018	3	 	 	 
48018	4	 	 	 
48018	5	 	 	 
48018	6	 	 	 
48018	7	 	 	 
48018	8	 	 	 
48019	1	 	 	 
48019	2	 	 	 
48019	3	 	 	 
48019	4	 	 	 
48019	5	 	 	 
48019	6	 	 	 
48019	7	 	 	 
48019	8	 	 	 
48020	1	50	3	1
48020	2	-88	88	-88
48020	3	-88	88	-88
48020	4	-88	88	-88
48020	5	-88	88	-88
48020	6	-88	88	-88
48020	7	-88	88	-88
48020	8	500	88	1
48021	1	 	 	 
48021	2	 	 	 
48021	3	 	 	 
48021	4	 	 	 
48021	5	 	 	 
48021	6	 	 	 
48021	7	 	 	 
48021	8	 	 	 
48022	1	20	3	1
48022	2	0	88	0
48022	3	0	88	0
48022	4	0	88	0
48022	5	0	88	0
48022	6	0	88	0
48022	7	0	88	0
48022	8	0	88	0
48023	1	 	 	 
48023	2	 	 	 
48023	3	 	 	 
48023	4	 	 	 
48023	5	 	 	 
48023	6	 	 	 
48023	7	 	 	 
48023	8	 	 	 
48024	1	 	 	 
48024	2	 	 	 
48024	3	 	 	 
48024	4	 	 	 
48024	5	 	 	 
48024	6	 	 	 
48024	7	 	 	 
48024	8	 	 	 
48025	1	 	 	 
48025	2	 	 	 
48025	3	 	 	 
48025	4	 	 	 
48025	5	 	 	 
48025	6	 	 	 
48025	7	 	 	 
48025	8	 	 	 
48026	1	 	 	 
