CHILDCODE	EDCHSTR4	ATDSCHR4	GRDER4	TYSCR4	SMESCHR4	DEPTR4
48013	12	 	 	 	 	 
48013	13	 	 	 	 	 
48014	9	1	7	4	0	1
48014	10	1	8	4	1	 
48014	11	1	9	4	1	 
48014	12	1	10	4	0	1
48014	13	0	 	 	 	 
48015	9	1	8	4	1	 
48015	10	1	9	1	0	1
48015	11	1	9	1	1	 
48015	12	1	10	1	1	 
48015	13	1	11	4	1	 
48016	9	1	10	4	1	 
48016	10	1	11	4	0	1
48016	11	0	 	 	 	 
48016	12	0	 	 	 	 
48016	13	0	 	 	 	 
48017	9	1	9	4	1	 
48017	10	1	10	6	1	 
48017	11	1	11	4	1	 
48017	12	0	 	 	 	 
48017	13	1	15	4	0	1
48018	9	0	 	 	 	 
48018	10	0	 	 	 	 
48018	11	0	 	 	 	 
48018	12	0	 	 	 	 
48018	13	0	 	 	 	 
48019	9	0	 	 	 	 
48019	10	0	 	 	 	 
48019	11	0	 	 	 	 
48019	12	0	 	 	 	 
48019	13	0	 	 	 	 
48020	9	1	7	4	0	1
48020	10	1	8	4	1	 
48020	11	1	9	4	0	15
48020	12	1	9	4	1	 
48020	13	1	10	4	0	1
48021	9	1	10	4	1	 
48021	10	1	11	4	0	1
48021	11	0	 	 	 	 
48021	12	0	 	 	 	 
48021	13	0	 	 	 	 
48022	9	1	8	4	1	 
48022	10	1	9	4	1	 
48022	11	1	10	4	0	2
48022	12	1	10	4	1	 
48022	13	1	11	4	1	 
48023	9	1	8	4	1	 
48023	10	1	9	4	1	 
48023	11	1	10	6	1	 
48023	12	0	 	 	 	 
48023	13	0	 	 	 	 
48024	9	1	8	4	1	 
48024	10	1	9	4	1	 
48024	11	0	 	 	 	 
48024	12	0	 	 	 	 
48024	13	0	 	 	 	 
48025	9	0	 	 	 	 
48025	10	0	 	 	 	 
48025	11	0	 	 	 	 
48025	12	0	 	 	 	 
48025	13	0	 	 	 	 
48026	9	1	8	4	1	 
48026	10	1	9	4	1	 
48026	11	1	10	4	1	 
48026	12	1	11	4	1	 
48026	13	0	 	 	 	 
58002	9	1	9	4	1	 
58002	10	1	10	4	1	 
58002	11	1	11	4	1	 
58002	12	0	 	 	 	 
58002	13	0	 	 	 	 
58003	9	1	8	4	1	 
58003	10	1	9	4	1	 
58003	11	1	10	4	1	 
58003	12	1	11	4	1	 
58003	13	1	13	4	0	6
58004	9	1	10	4	1	 
58004	10	1	11	4	1	 
58004	11	1	13	1	0	15
58004	12	1	13	1	1	 
58004	13	1	13	1	1	 
58006	9	1	10	4	1	 
