PLACEID	RSID	MODULE	SECTION	SECTION2	SECTION3	AGERES	SEXRES	INFCASTE	CAPAC	LIVRES
IN021	1	1	2	5	 	28	2	3	1	10
IN021	2	1	2	1	3	38	1	3	2	38
IN021	3	1	2	3	5	30	1	3	2	30
IN021	4	1	2	3	5	43	1	1	8	43
IN021	5	1	4	5	 	35	1	3	2	35
IN021	6	1	4	5	 	45	1	3	2	45
IN021	7	1	1	3	 	35	1	3	2	35
IN021	8	1	1	3	 	42	1	3	2	42
IN021	9	1	4	5	 	30	2	2	6	12
IN021	10	2	1	3	5	42	1	4	4	1
IN021	11	2	1	3	 	33	1	1	4	1
IN021	12	2	1	3	 	35	1	3	2	35
IN021	13	2	1	3	5	30	1	4	2	30
IN021	14	2	1	3	 	32	2	3	6	12
IN021	15	2	4	2	5	34	2	3	4	17
IN021	16	2	4	2	 	28	2	4	8	10
IN021	17	2	4	2	 	28	2	3	6	10
IN021	18	2	4	2	 	32	2	3	6	14
IN021	19	1	5	 	 	32	1	4	2	32
IN021	20	1	5	 	 	30	1	4	2	30
IN021	21	1	5	 	 	27	1	4	2	7
IN021	22	1	5	 	 	36	1	4	2	36
IN021	23	2	3	 	 	50	1	4	4	5
IN021	24	2	3	 	 	36	1	3	4	3
IN021	25	2	3	 	 	40	1	3	2	40
IN021	26	2	3	 	 	45	1	3	2	45
IN021	27	 	 	 	 	42	1	3	2	42
IN022	1	2	1	2	5	30	2	3	4	30
IN022	2	2	1	2	5	55	2	3	8	40
IN022	3	2	1	2	5	38	2	3	6	20
IN022	4	2	1	2	 	32	2	3	6	14
IN022	5	2	1	2	 	25	2	3	6	5
IN022	6	2	1	2	 	36	1	3	2	36
IN022	7	2	2	5	 	40	2	3	6	22
IN022	8	2	3	1	5	31	1	3	4	1
IN022	9	2	3	1	5	27	1	3	4	1
IN022	10	2	1	3	 	52	1	3	2	52
IN022	11	2	1	3	 	34	1	3	2	34
IN022	12	2	1	3	 	34	1	3	2	34
IN022	13	1	3	4	5	45	2	3	6	30
IN022	14	1	3	4	5	52	2	3	2	44
IN022	15	1	3	4	5	32	1	3	2	32
IN022	16	1	2	3	5	32	1	3	2	32
IN022	17	1	2	3	4	40	1	3	2	40
IN022	18	1	2	3	4	38	1	3	2	38
IN022	19	1	1	2	4	32	1	3	2	32
IN022	20	1	1	2	5	55	1	3	2	55
IN022	21	1	1	2	3	37	1	3	1	31
IN022	22	1	2	3	4	40	1	3	2	40
IN022	23	1	2	3	4	35	2	3	6	20
IN022	24	1	5	 	 	35	1	4	2	35
IN022	25	1	5	 	 	35	1	3	2	35
IN022	26	2	4	5	 	30	2	3	3	3
IN022	27	2	3	 	 	44	1	4	4	10
IN022	28	2	3	 	 	38	1	4	4	3
IN022	29	2	3	 	 	38	1	3	2	38
IN022	30	2	3	 	 	30	1	3	2	30
IN022	31	2	3	 	 	32	1	3	2	32
IN023	1	2	3	1	 	31	1	2	4	4
IN023	2	2	3	1	5	53	1	4	4	1
