CHILDCODE	ASSTIDR5	ASSETR5	NUMASTR5	ASACTR5	NMOWNR5
151037	4	2	1	11	1
151038	1	1	5	11	5
151038	2	2	1	11	1
151038	3	4	2	11	2
151038	4	3	1	11	1
151039	1	1	3	5	3
151039	2	8	3	11	3
151040	1	7	1	11	1
151040	2	5	3	11	3
151040	3	6	1	24	0
151040	4	3	3	11	3
151040	5	1	10	11	10
151041	1	1	4	5	4
151042	1	2	1	11	1
151042	2	7	1	11	0
151042	3	4	1	11	1
151042	4	1	6	5	6
151043	1	1	3	11	3
151043	2	3	1	11	1
151043	3	8	4	11	4
151047	1	1	4	5	4
151048	1	1	1	5	1
151049	1	25	1	24	0
151049	2	1	3	5	3
161003	1	13	6	7	6
161005	1	15	20	23	20
161007	1	17	3	16	3
161008	1	4	3	11	3
161008	2	4	2	11	2
161008	3	8	3	11	3
161008	4	3	1	11	0
161009	1	1	3	11	3
161009	2	4	1	11	1
161009	3	8	3	11	3
161010	1	1	2	11	2
161012	1	1	2	5	2
161013	1	1	3	11	3
161013	2	2	1	11	1
161013	3	4	5	11	5
161013	4	3	1	11	1
161014	1	 	 	 	 
161014	2	 	 	 	 
161014	3	 	 	 	 
161015	1	5	1	11	1
161015	2	4	4	11	4
161015	3	3	2	11	2
161015	4	1	6	11	5
161016	1	4	2	11	2
161016	2	1	10	11	10
161016	3	3	1	11	1
161017	1	 	 	 	 
161018	1	1	4	11	4
161018	2	3	1	11	0
161018	3	4	4	11	4
161018	4	7	1	11	0
161019	1	4	1	11	1
161021	1	1	2	11	2
161021	2	4	3	11	3
161021	3	3	1	11	1
161021	4	8	3	11	1
161022	1	5	1	11	1
161022	2	3	1	11	1
161022	3	4	3	11	2
161022	4	1	6	11	4
161022	5	21	1	21	1
161024	1	1	3	11	3
161024	2	4	3	11	3
161024	3	8	17	11	17
161025	1	3	1	11	0
161025	2	4	2	11	0
161026	1	23	8	23	8
161026	2	1	6	11	6
161026	3	4	4	11	0
161027	1	5	2	11	2
161027	2	4	5	11	5
161027	3	3	2	11	2
161027	4	1	8	11	8
161028	1	1	15	11	15
161028	2	3	1	11	1
161028	3	4	6	11	6
161029	1	1	5	11	5
161029	2	3	1	11	1
161029	3	4	3	11	3
161029	4	8	6	11	6
161030	1	1	5	11	4
161030	2	4	2	11	0
161030	3	3	1	11	0
161031	1	5	1	11	1
161031	2	2	1	11	1
161031	3	3	1	11	1
161031	4	4	4	11	4
161032	1	21	1	21	1
161032	2	13	6	16	5
161033	1	1	10	11	10
161033	2	3	1	11	0
161034	1	1	3	11	3
161034	2	8	3	11	3
161034	3	13	3	8	3
161035	1	25	1	24	1
161036	1	15	70	12	70
161037	1	1	10	11	0
161037	2	4	3	11	0
161037	3	3	1	11	0
161041	1	21	1	21	1
161041	2	1	3	11	3
161042	1	1	2	11	2
161042	2	8	2	5	2
161043	1	1	3	5	3
161044	1	1	3	11	3
161044	2	4	1	11	1
161044	3	7	1	11	0
161045	1	1	15	11	15
161045	2	3	1	11	0
161045	3	7	1	11	1
161046	1	2	5	11	5
161046	2	3	1	11	1
161046	3	4	4	11	4
161049	1	1	8	11	8
161049	2	3	1	11	1
161049	3	4	4	11	4
161049	4	7	1	11	0
171002	1	21	1	21	1
