PLACEID	PRANIDR5	AVGPRCAN	MINPRCAN	MAXPRCAN
1003	1	-88	 	 
1003	2	-88	 	 
1003	3	-88	 	 
1003	4	-88	 	 
1003	5	-88	 	 
1003	6	-88	 	 
1003	7	-88	 	 
1003	8	-88	 	 
1003	9	-88	 	 
1003	10	-88	 	 
1003	11	-88	 	 
1003	12	-88	 	 
1003	13	-88	 	 
1003	14	-88	 	 
1004	1	-88	 	 
1004	2	-88	 	 
1004	3	-88	 	 
1004	4	-88	 	 
1004	5	-88	 	 
1004	6	-88	 	 
1004	7	-88	 	 
1004	8	-88	 	 
1004	9	-88	 	 
1004	10	-88	 	 
1004	11	-88	 	 
1004	12	-88	 	 
1004	13	-88	 	 
1004	14	-88	 	 
1005	1	-88	 	 
1005	2	-88	 	 
1005	3	-88	 	 
1005	4	-88	 	 
1005	5	-88	 	 
1005	6	-88	 	 
1005	7	-88	 	 
1005	8	-88	 	 
1005	9	-88	 	 
1005	10	-88	 	 
1005	11	-88	 	 
1005	12	-88	 	 
1005	13	-88	 	 
1005	14	-88	 	 
1006	1	-88	 	 
1006	2	-88	 	 
1006	3	-88	 	 
1006	4	-88	 	 
1006	5	-88	 	 
1006	6	-88	 	 
1006	7	-88	 	 
1006	8	-88	 	 
1006	9	-88	 	 
1006	10	-88	 	 
1006	11	-88	 	 
1006	12	-88	 	 
1006	13	-88	 	 
1006	14	-88	 	 
1101	1	-88	 	 
1101	2	800	 	 
1101	3	-88	 	 
1101	4	500	 	 
1101	5	-88	 	 
1101	6	150	 	 
1101	7	120	 	 
1101	8	350	 	 
1101	9	25	 	 
1101	10	-88	 	 
1101	11	25	 	 
1101	12	-88	 	 
1101	13	1000	 	 
1101	14	-88	 	 
1102	1	-88	 	 
1102	2	600	 	 
1102	3	-88	 	 
1102	4	500	 	 
1102	5	-88	 	 
1102	6	100	 	 
1102	7	100	 	 
1102	8	300	 	 
1102	9	25	 	 
1102	10	-88	 	 
1102	11	20	 	 
1102	12	-88	 	 
1102	13	1000	 	 
1102	14	-88	 	 
1103	1	-88	 	 
1103	2	400	 	 
1103	3	-88	 	 
1103	4	-88	 	 
1103	5	-88	 	 
1103	6	-88	 	 
1103	7	150	 	 
1103	8	380	 	 
1103	9	30	 	 
1103	10	35	 	 
1103	11	20	 	 
1103	12	-88	 	 
1103	13	1500	 	 
1103	14	-88	 	 
1104	1	-88	 	 
1104	2	400	 	 
1104	3	-88	 	 
1104	4	400	 	 
1104	5	-88	 	 
1104	6	150	 	 
1104	7	100	 	 
1104	8	300	 	 
1104	9	30	 	 
1104	10	-88	 	 
1104	11	25	 	 
1104	12	-88	 	 
1104	13	1200	 	 
1104	14	-88	 	 
1105	1	-88	 	 
1105	2	800	 	 
1105	3	-88	 	 
1105	4	600	 	 
1105	5	-88	 	 
1105	6	150	 	 
