CHILDCODE	EDCHSTR5	GRDER5	CMPGRDR5	TYSCR5	SMESCHR5	PROVR5	DSSCR5	COD_MOD	ANEXO	NMSCSCR5	NIV_MOD	D_NIV_MOD	GESTION	D_GESTION	GES_DEP	D_GES_DEP	COD_ENAHO	TYSCR5_C	NMSCLSR5_C
28002	13	13	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
28002	14	14	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
28002	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28002	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28003	13	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
28003	14	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
28003	15	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
28003	16	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
28004	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28004	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28004	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28004	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28006	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28006	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28006	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28006	16	13	 	4	0	 	 	 	 	 	 	 	 	 	 	 	 	4	 
28007	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28007	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28007	15	21	 	1	0	 	 	 	 	 	 	 	 	 	 	 	 	1	 
28007	16	21	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
28008	13	15	 	1	0	 	 	 	 	 	 	 	 	 	 	 	 	1	 
28008	14	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
28008	15	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
28008	16	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
28009	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28009	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28009	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28009	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28010	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28010	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28010	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28010	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28011	13	13	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
28011	14	13	 	1	0	 	 	 	 	 	 	 	 	 	 	 	 	1	 
28011	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28011	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28012	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28012	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28012	15	21	3	1	0	 	 	 	 	 	 	 	 	 	 	 	 	1	 
28012	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28013	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28013	14	11	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	1	 
28013	15	13	 	1	0	 	 	 	 	 	 	 	 	 	 	 	 	1	 
28013	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
