CHILDCODE	HHDCIDR4	EVMDDCR5	MADDECR5	WHOPRVR5
58008	1	1	1	7
58008	2	1	0	3
58008	3	0	1	1
58008	4	1	1	1
58008	5	1	1	3
58008	6	1	1	3
58008	7	1	1	3
58008	8	0	1	1
58008	9	0	1	1
58011	1	0	1	1
58011	2	1	1	1
58011	3	0	1	1
58011	4	1	1	1
58011	5	1	1	1
58011	6	0	1	1
58011	7	1	1	1
58011	8	1	1	1
58011	9	1	1	1
58012	1	1	1	3
58012	2	1	1	3
58012	3	1	1	1
58012	4	1	1	1
58012	5	1	1	1
58012	6	0	1	1
58012	7	0	1	1
58012	8	0	1	1
58012	9	0	1	1
58013	1	1	1	3
58013	2	1	1	3
58013	3	0	1	1
58013	4	1	1	1
58013	5	1	1	1
58013	6	0	1	1
58013	7	0	1	1
58013	8	0	1	1
58013	9	1	1	1
58014	1	1	1	3
58014	2	1	0	3
58014	3	1	1	1
58014	4	1	1	1
58014	5	1	1	7
58014	6	0	1	1
58014	7	1	1	1
58014	8	0	1	1
58014	9	0	1	1
58015	1	1	1	2
58015	2	1	1	2
58015	3	0	1	2
58015	4	0	1	1
58015	5	1	1	1
58015	6	1	1	2
58015	7	1	1	2
58015	8	1	1	2
58015	9	1	1	2
58016	1	0	1	3
58016	2	1	1	3
58016	3	1	1	3
58016	4	1	1	1
58016	5	1	1	3
58016	6	0	1	1
58016	7	1	1	3
58016	8	0	1	1
58016	9	0	1	2
58017	1	1	1	1
58017	2	1	0	4
58017	3	1	1	1
58017	4	1	1	1
58017	5	1	1	1
58017	6	1	1	1
58017	7	1	1	1
58017	8	1	1	1
58017	9	1	1	1
58019	1	0	0	3
58019	2	1	0	3
58019	3	1	0	3
58019	4	1	1	1
58019	5	1	1	1
58019	6	1	1	1
58019	7	1	1	1
58019	8	0	1	1
58019	9	0	1	1
58020	1	1	1	4
58020	2	1	1	3
58020	3	1	1	1
58020	4	1	1	1
58020	5	1	1	1
58020	6	1	1	1
58020	7	1	1	1
58020	8	1	1	1
58020	9	1	1	1
58021	1	1	1	3
58021	2	1	1	3
58021	3	1	1	6
58021	4	1	1	6
58021	5	1	1	6
58021	6	1	1	1
58021	7	1	1	1
58021	8	1	1	1
58021	9	1	1	6
58022	1	0	1	1
58022	2	0	1	1
58022	3	1	1	1
58022	4	0	1	1
58022	5	1	1	1
58022	6	1	1	1
58022	7	1	1	1
58022	8	0	1	2
58022	9	0	1	2
58025	1	1	1	7
58025	2	1	1	3
58025	3	0	1	1
58025	4	1	1	1
58025	5	1	1	1
58025	6	0	1	1
58025	7	0	1	1
58025	8	0	1	1
58025	9	0	1	1
58026	1	1	1	3
58026	2	1	1	4
58026	3	1	1	1
58026	4	1	1	1
58026	5	1	1	1
58026	6	0	1	1
58026	7	1	1	1
58026	8	0	1	1
58026	9	0	1	1
58027	1	0	0	3
58027	2	1	0	3
58027	3	0	1	1
58027	4	1	1	1
58027	5	0	1	5
58027	6	0	1	5
58027	7	1	1	1
58027	8	0	1	1
58027	9	0	1	1
58028	1	0	1	1
58028	2	1	1	1
58028	3	0	1	1
58028	4	1	1	1
58028	5	1	1	1
58028	6	1	1	1
58028	7	0	1	1
58028	8	0	1	1
58028	9	1	1	1
58029	1	1	1	3
58029	2	1	1	3
58029	3	1	1	1
58029	4	1	1	1
58029	5	1	1	1
58029	6	1	1	1
58029	7	1	1	1
58029	8	1	1	1
58029	9	1	1	1
58030	1	1	1	3
58030	2	1	1	3
58030	3	1	1	1
58030	4	1	1	1
58030	5	1	1	1
58030	6	1	1	1
58030	7	1	1	1
58030	8	1	1	1
58030	9	1	1	1
68001	1	1	1	3
68001	2	1	1	4
68001	3	1	1	1
68001	4	1	1	1
68001	5	1	1	1
68001	6	0	1	1
68001	7	0	1	1
68001	8	0	1	1
68001	9	0	1	1
68002	1	0	1	1
68002	2	1	1	1
68002	3	1	1	6
68002	4	1	1	1
68002	5	1	1	1
68002	6	0	1	1
68002	7	0	1	1
68002	8	1	1	1
68002	9	1	1	1
68004	1	0	1	3
68004	2	1	0	3
68004	3	1	1	1
68004	4	1	1	1
68004	5	1	1	7
68004	6	0	1	1
68004	7	0	1	1
