PLACEID	LCPRIDR5	ITEMPRC1	ITEMVND1	ITEMINF1
711	70	0	16	88
712	1	1.5	16	4
712	2	45	16	4
712	3	35	16	4
712	4	35	16	4
712	5	40	16	4
712	6	40	16	4
712	7	0	16	88
712	8	.5	16	4
712	9	.5	16	4
712	10	.100000001490116	16	4
712	11	1.5	16	5
712	12	3	16	5
712	13	4.5	16	5
712	15	1	16	5
712	16	3.20000004768372	16	5
712	17	2.79999995231628	16	5
712	18	0	16	88
712	19	1.20000004768372	15	5
712	20	14	16	5
712	21	1.20000004768372	16	5
712	23	.200000002980232	16	5
712	24	0	16	88
712	25	1	16	5
712	27	9	16	5
712	28	10	16	5
712	29	7	16	5
712	30	2.20000004768372	16	5
712	32	12	16	5
712	33	6	16	5
712	34	1	16	5
712	35	2	16	5
712	36	4.5	16	5
712	37	1	16	5
712	38	1	16	5
712	39	.5	16	5
712	40	2	16	5
712	41	2	16	5
712	42	0	16	5
712	43	1.5	16	5
712	44	2	16	5
712	45	5	16	5
712	46	48	16	5
712	61	5.5	16	5
712	70	7	16	5
713	1	1	16	1
713	2	40	16	1
713	3	16	16	1
713	4	16	16	1
713	5	30	16	1
713	6	25	16	1
713	7	.5	16	3
713	8	.0299999993294477	16	3
713	9	.119999997317791	16	3
713	10	.119999997317791	16	3
713	11	1	16	5
713	12	2.79999995231628	1	5
713	13	3	1	5
713	15	1	1	5
713	16	3	1	5
713	17	2.79999995231628	1	5
713	18	0	16	88
713	19	1	1	5
713	20	0	16	88
713	21	1	1	5
713	23	.200000002980232	1	5
713	24	0	16	88
