PLACEID	STRTDINT	DISTRID	CLUSTID	MAPLOC	CHRINF1	CHRINF2	CHRINF3	POPSIZE	PAVEDN	EARTHN	UNPAVEDN	TRACKSN	RIVERN	RAILN	OTTRANN	MAINRTR4	FACTORY	KNDFACE1	NTRLDIST	SOCINF1	SOCINF2	SOCINF3	ACCINF1	ACCINF2	ACCINF3	ECNINF1	ECNINF2	ECNINF3	LPRINF1	LPRINF2	LPRINF3	LPRINF4	LPRINF5	LPRINF6	LPRINF7	LPRINF8	LPRINF9	LPRINF10
322	26/11/2013 15:08:11	WESTGODAVRI	99	0	1	2	3	12000	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
323	06/12/2013 08:09:50	WEST GODAVARI	99	0	1	2	3	1856	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
324	06/12/2013 08:28:35	PRAKASAM	99	0	1	2	3	260	0	0	1	0	0	0	0	3	0	 	0	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
112	06/12/2013 08:44:42	NELLORE	99	0	1	2	3	350	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
326	06/12/2013 15:22:32	WEST GODAVARI	99	0	1	2	3	3034	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
327	07/12/2013 12:18:41	KRISHNA	99	0	1	2	3	1237	0	0	1	0	0	0	0	3	2	17	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	4	5	10	11
328	12/12/2013 06:20:08	WEST GODAVARI	99	0	1	2	3	3289	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
120	06/12/2013 10:09:57	KRISHNA	99	0	1	2	3	4350	0	0	1	0	0	1	0	3	1	11	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
330	06/12/2013 10:47:29	WEST GODAVARI	99	0	1	2	3	4650	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	4	5
331	06/12/2013 11:25:51	WEST GODAVARI	99	0	1	2	3	4250	0	0	1	0	0	0	0	3	0	 	0	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	4	5
332	11/12/2013 16:04:33	WESTGODAVARI	99	0	1	2	3	4600	0	0	1	0	0	0	0	3	2	17	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	4	10	11	12
333	08/12/2013 20:07:43	KRISHNA	99	0	1	2	3	5650	0	0	1	0	0	1	0	3	1	8	0	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
334	25/02/2014 15:50:19	SRIKAKULAM	99	0	1	2	3	3456	0	0	1	0	0	0	0	3	1	1	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
335	26/02/2014 07:13:23	SRIKAKULAM	99	0	1	2	3	296	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
336	25/02/2014 15:51:24	SRIKAKULAM	99	0	1	2	3	150	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
337	26/02/2014 08:45:49	SRIKAKULAM	99	0	1	2	3	3500	0	0	1	0	0	0	0	3	0	 	0	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
338	25/02/2014 16:16:57	SRIKAKULAM	99	0	1	2	3	4000	0	0	1	0	0	0	0	3	0	 	0	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
339	26/02/2014 11:05:51	SRIKAKULAM	99	0	1	2	3	3099	0	0	1	0	0	1	0	3	0	 	0	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
