childid	foodid	foodcode	foodnum	foodamt	foodcost
PE178029	2	10	180	3	1
PE178029	3	3	6	3	3
PE178030	1	3	4	1	4
PE178030	2	1	4	7	2.5
PE178030	3	10	180	3	2.5
PE178031	1	10	180	3	2
PE178033	1	1	3	5	2.5
PE178033	2	3	3	2	3
PE178033	3	4	12	3	1.5
PE178034	1	10	140	1	1.5
PE178035	1	1	4	8	2.20000004768372
PE178035	2	3	4	2	1
PE178035	3	10	180	1	1
PE178036	1	1	3	8	2.40000009536743
PE178036	2	3	3	2	2
PE178036	3	10	180	3	3
PE188001	1	1	6	6	1
PE188001	2	8	6	6	1.5
PE188001	3	10	140	3	.5
PE188001	4	9	140	2	.100000001490116
PE188001	5	10	140	1	1
PE188001	6	4	11	3	10
PE188002	1	1	12	4	1.5
PE188002	2	8	12	4	2
PE188002	3	10	160	2	.5
PE188002	4	9	160	2	.100000001490116
PE188002	5	10	160	1	1
PE188003	1	10	240	1	.5
PE188003	2	9	240	1	1
PE188004	1	1	6	3	1
PE188004	2	8	6	4	2
PE188004	3	10	140	3	.5
PE188004	4	9	140	2	.100000001490116
PE188004	5	10	140	1	1
PE188005	1	10	180	2	1
PE188005	2	9	180	2	.200000002980232
PE188006	1	1	12	4	1
PE188006	2	10	140	2	1
PE188006	3	9	140	2	.100000001490116
PE188007	1	1	12	4	1.20000004768372
PE188007	2	8	12	2	4
PE188007	3	10	142	3	.5
PE188007	4	9	142	3	.200000002980232
PE188008	1	1	4	4	1.5
PE188008	2	8	4	8	1.5
PE188008	3	10	160	2	.200000002980232
PE188008	4	9	160	2	.200000002980232
PE188008	5	10	160	1	1
PE188009	1	10	200	2	1
PE188009	2	9	200	2	.200000002980232
PE188010	1	1	6	4	2.20000004768372
PE188010	2	8	6	4	2
PE188010	3	1	180	1	.5
PE188010	4	9	180	1	.200000002980232
PE188011	1	10	240	4	.5
PE188011	2	9	240	1	.300000011920929
PE188011	3	10	240	1	.300000011920929
PE188012	1	10	140	3	1
PE188012	2	9	140	3	.100000001490116
PE188012	3	10	140	1	1.5
PE188013	1	10	148	2	.5
PE188013	2	9	148	2	.200000002980232
PE188015	1	10	140	2	.5
PE188015	2	9	140	2	.5
PE188016	1	10	296	2	.5
PE188016	2	9	296	2	.100000001490116
PE188017	1	1	12	4	2
PE188017	2	9	240	3	.5
PE188017	3	10	240	3	.5
PE188017	4	10	290	1	1
PE188017	5	4	12	3	2
PE188018	1	1	24	4	2
PE188018	2	8	12	2	2
PE188019	1	1	12	4	2
PE188019	2	8	12	4	2
PE188019	3	10	142	4	.5
PE188019	4	9	142	4	.200000002980232
PE188019	5	10	142	2	1
PE188020	1	1	6	4	2
PE188020	2	8	6	4	1
PE188020	3	10	296	2	.5
PE188020	4	9	296	2	.100000001490116
PE188020	5	10	200	1	.5
PE188020	6	10	200	1	1
PE188020	7	10	200	1	.5
PE188021	1	1	6	4	2
PE188021	2	8	6	4	1
PE188021	3	10	140	2	.5
PE188021	4	9	140	2	.200000002980232
PE188022	1	1	6	4	2
PE188022	2	8	6	1	2
PE188022	3	4	12	3	1.5
PE188022	4	10	140	1	.5
PE188022	5	9	140	1	.100000001490116
PE188023	1	10	120	1	.5
PE188023	2	9	120	1	.200000002980232
PE188024	1	1	6	4	2.20000004768372
PE188024	2	8	6	2	2
PE188024	3	10	140	1	1
PE188024	4	10	140	1	2
PE188025	1	10	180	2	.5
PE188025	2	10	180	1	.5
PE188025	3	9	180	1	.5
PE188026	1	10	140	145	.5
PE188026	2	9	140	145	.200000002980232
PE188027	1	10	200	3	1.5
PE188027	2	9	180	1	.100000001490116
PE188027	3	10	180	1	.200000002980232
PE198002	1	10	180	1	1
PE198002	2	9	180	1	.5
PE198003	1	1	1	6	1.5
PE198003	2	10	280	2	.5
PE198003	3	9	280	2	.5
PE198004	1	10	180	1	.5
PE198004	2	9	180	1	.5
PE198006	1	10	184	1	.5
PE198006	2	9	184	1	.5
PE198007	1	10	180	1	.5
PE198007	2	9	180	1	.200000002980232
PE198009	1	1	2	1	1.5
PE198009	2	10	140	3	.5
PE198009	3	9	140	3	.5
PE198012	1	10	180	1	.5
PE198012	2	9	180	1	.5
PE198014	1	8	12	3	1
PE198014	2	10	160	2	.5
PE198014	3	9	160	2	.5
PE198015	1	1	12	1	1
PE198015	2	10	180	3	.5
PE198015	3	9	180	3	.300000011920929
PE198017	1	10	180	1	.200000002980232
PE198017	2	9	180	1	.200000002980232
PE198018	1	10	180	1	.5
PE198018	2	9	180	1	.5
PE198019	1	1	6	6	1
PE198019	2	3	6	2	1
PE198022	1	1	12	1	2
PE198022	2	2	12	1	2
PE198024	1	10	180	1	.200000002980232
PE198024	2	9	180	1	.200000002980232
PE198024	3	1	12	1	1
PE198025	1	10	180	1	.5
