CHILDCODE	ASSTIDR5	ASSETR5	NUMASSR5	ASACTR5	NMOWNR5	VLASTR5
71043	1	1	7	11	7	350
71043	2	8	1	23	1	1000
71043	3	88	 	 	 	 
71044	1	1	3	11	3	300
71044	2	88	 	 	 	 
71044	3	88	 	 	 	 
71045	1	1	6	11	6	250
71045	2	4	1	11	1	450
71045	3	88	 	 	 	 
71047	1	1	7	11	7	370
71047	2	4	5	11	5	440
71047	3	88	 	 	 	 
71049	1	1	12	11	12	-77
71049	2	4	7	11	7	-77
71049	3	88	 	 	 	 
81001	1	10	13	2	13	8000
81001	2	88	 	 	 	 
81001	3	88	 	 	 	 
81002	1	40	3	30	3	2000
81002	2	4	1	11	1	500
81002	3	5	1	11	1	300
81003	1	4	1	11	1	700
81003	2	1	5	11	5	300
81003	3	30	1	11	0	 
81004	1	1	2	11	2	100
81004	2	4	1	11	1	50
81004	3	88	 	 	 	 
81005	1	 	 	 	 	 
81005	2	 	 	 	 	 
81005	3	 	 	 	 	 
81006	1	2	1	23	1	600
81006	2	88	 	 	 	 
81006	3	88	 	 	 	 
81007	1	4	2	11	2	1000
81007	2	1	5	11	5	300
81007	3	8	1	11	0	 
81008	1	5	1	11	0	 
81008	2	8	30	11	22	1350
81008	3	4	2	11	2	1200
81009	1	4	1	11	1	150
81009	2	1	1	11	1	100
81009	3	8	2	11	1	100
81010	1	 	 	 	 	 
81010	2	 	 	 	 	 
81010	3	 	 	 	 	 
81011	1	 	 	 	 	 
81011	2	 	 	 	 	 
81011	3	 	 	 	 	 
81012	1	 	 	 	 	 
