placeid	rsid	module	section	ageres	sexres	capac	livres
PE04C03	21	1	5	46	2	7	13
PE04C03	22	2	5	48	2	2	48
PE04C03	23	2	5	55	1	2	12
PE04C04	1	2	1	31	1	4	7
PE04C04	2	2	3	27	2	4	5
PE04C04	3	1	1	42	1	1	42
PE04C04	4	1	1	33	1	1	33
PE04C04	5	1	1	37	1	1	37
PE04C04	6	1	5	19	2	7	19
PE04C04	7	1	5	42	2	7	42
PE04C04	8	1	5	32	2	8	32
PE04C04	9	1	5	32	1	7	5
PE04C04	10	1	5	40	1	7	8
PE04C04	11	2	4	33	2	3	3
PE04C04	12	1	5	47	2	7	12
PE04C04	13	1	5	46	2	7	12
PE04C04	14	2	5	48	2	2	48
PE04C04	15	2	5	55	1	2	12
PE04C05	1	1	1	53	1	8	53
PE04C05	2	1	1	42	1	2	20
PE04C05	3	1	1	40	1	1	40
PE04C05	4	1	1	29	2	8	29
PE04C05	5	1	1	42	1	8	42
PE04C05	6	1	1	34	2	8	14
PE04C05	7	2	4	29	2	8	6
PE04C05	8	2	3	42	1	4	0
PE04C05	9	2	3	29	2	4	29
PE04C05	10	1	5	46	2	7	46
PE04C05	11	1	5	47	2	7	12
PE04C05	12	1	5	37	1	3	4
PE04C05	13	1	5	39	2	7	39
PE04C05	14	1	5	39	1	7	39
PE04C05	15	1	5	46	2	7	13
PE04C05	16	2	5	48	2	2	48
PE04C05	17	2	5	55	2	2	12
PE04C06	1	2	1	27	2	4	5
PE04C06	2	2	3	42	2	4	12
PE04C06	3	2	4	33	2	3	5
PE04C06	4	1	1	48	2	6	48
PE04C06	5	1	1	46	2	8	46
PE04C06	6	1	1	48	1	2	43
PE04C06	7	1	1	25	1	8	25
PE04C06	8	1	1	36	1	1	36
PE04C06	9	1	1	36	2	1	36
PE04C06	10	1	1	40	2	6	40
PE04C06	11	1	1	51	1	1	14
PE04C06	12	1	1	44	1	7	44
PE04C06	13	1	5	70	1	8	70
PE04C06	14	1	5	47	2	7	47
PE04C06	15	1	5	40	1	7	8
PE04C06	16	1	5	40	2	7	14
PE04C06	17	1	5	31	2	7	31
PE04C06	18	1	5	46	2	7	13
PE04C06	19	2	5	48	2	8	48
PE04C06	20	2	5	51	1	2	12
PE04C06	88	 	 	 	 	 	 
PE04C08	1	1	1	27	1	1	27
PE04C08	2	1	1	53	1	1	53
PE04C08	3	1	1	57	1	1	57
PE04C08	4	1	1	29	1	1	29
PE04C08	5	1	1	41	1	1	41
PE04C08	6	1	1	30	1	1	30
PE04C08	7	2	1	40	2	4	5
PE04C08	8	2	1	28	2	4	4
PE04C08	9	2	3	38	2	4	5
PE04C08	10	2	3	40	2	4	12
PE04C08	11	2	4	27	2	3	0
PE04C08	12	2	4	33	2	3	3
PE04C08	13	1	5	31	2	7	31
PE04C08	14	1	5	40	2	7	14
PE04C08	15	1	5	25	1	7	25
PE04C08	16	1	5	32	1	7	5
PE04C08	17	1	5	40	1	7	8
PE04C08	18	1	5	46	2	7	13
PE04C08	19	1	5	47	2	7	12
PE04C08	20	2	5	48	2	2	48
PE04C08	21	2	5	55	1	2	12
PE04C10	1	2	1	21	2	4	0
PE04C10	2	2	1	38	1	4	0
PE04C10	3	1	1	28	1	1	2
PE04C10	4	1	1	25	1	1	25
PE04C10	5	1	1	29	1	1	29
PE04C10	6	1	1	44	2	8	12
PE04C10	7	1	1	58	1	1	16
PE04C10	8	1	1	24	1	1	24
PE04C10	9	1	1	22	1	8	16
PE04C10	10	1	1	21	1	8	21
PE04C10	11	2	4	33	1	3	3
PE04C10	12	1	5	27	2	7	9
PE04C10	13	1	5	27	2	7	27
PE04C10	14	1	5	37	1	7	37
PE04C10	15	1	5	39	2	7	39
PE04C10	16	1	5	45	2	7	9
PE04C10	17	1	5	39	1	7	39
PE04C10	18	1	5	47	2	7	12
PE04C10	19	1	5	46	2	7	13
PE04C10	20	1	5	37	1	3	9
PE04C10	21	2	5	48	2	8	48
PE04C10	22	2	5	55	1	2	12
PE05C01	1	1	1	49	1	1	3
PE05C01	2	1	1	36	1	1	15
PE05C01	3	1	1	43	2	1	22
PE05C01	4	1	1	35	2	1	8
PE05C01	5	1	1	42	2	1	8
PE05C01	6	1	1	33	2	8	7
PE05C01	7	1	1	58	2	1	4
PE05C01	8	1	1	37	2	8	4
PE05C01	9	1	1	56	1	1	22
PE05C01	10	1	1	36	2	1	8
PE05C01	11	1	1	22	1	2	22
PE05C01	12	1	1	55	2	8	29
PE05C01	13	1	5	42	2	7	24
PE05C01	14	1	5	41	1	7	8
PE05C01	15	2	5	34	2	1	7
PE05C01	16	2	4	24	2	3	24
PE05C01	17	2	4	31	2	3	5
PE05C01	18	2	1	46	1	2	1
PE05C01	19	2	1	33	1	2	9
PE05C01	20	2	5	43	1	2	14
PE05C01	21	2	3	31	2	4	6
PE05C01	22	1	5	43	2	7	10
PE05C01	23	1	5	40	2	7	20
PE05C01	88	 	 	 	 	 	 
PE05C03	1	1	1	49	1	2	30
PE05C03	2	1	1	47	1	1	12
PE05C03	3	1	1	49	1	2	19
PE05C03	4	1	1	30	1	1	3
PE05C03	5	1	1	26	2	1	1
PE05C03	6	1	1	46	2	1	6
PE05C03	7	1	1	26	2	1	1
