CHILDCODE	ACTIDR5	ACTR5	ACTMTHR5	ACTDYMTR5	ACTWEKR5	ACTDAYHR5	ACTHRSR5	PYMRECR5	ERNCSHR5	HWPAIDR5	PDPCPRR5	ERNKNDR5	HWKINDR5	PDPCKNR5	PRFACTR5	MTHPRFR5	ACTOWNR5
31012	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31013	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31013	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31013	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31014	1	12	12	26	 	 	10	1	5500	4	 	 	 	 	1	12	3
31014	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31014	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31015	1	10	12	30	 	 	15	1	300	2	 	 	 	 	1	12	6
31015	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31015	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31016	1	13	12	30	 	 	8	1	4000	4	 	 	 	 	1	12	1
31016	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31016	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31018	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31018	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31018	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31019	1	13	8	22	 	 	8	1	16500	4	 	 	 	 	1	12	1
31019	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31019	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31020	1	13	12	25	 	 	9	1	28000	4	 	 	 	 	1	12	1
31020	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31020	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31022	1	12	3	30	 	 	10	1	13000	4	 	 	 	 	0	 	1
31022	2	12	1	30	 	 	12	1	15000	4	 	 	 	 	1	12	1
31022	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31023	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31023	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31023	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31024	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31024	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31024	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31025	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31025	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31025	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31026	1	13	12	26	 	 	8	1	6500	4	 	 	 	 	1	12	3
31026	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31026	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31027	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31027	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31027	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31028	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31028	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31028	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31029	1	19	8	26	 	 	12	1	4500	4	 	 	 	 	0	 	3
31029	2	12	3	24	 	 	12	1	380	2	 	 	 	 	1	12	3
31029	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31030	1	9	10	20	 	 	4	0	 	 	 	 	 	 	1	10	6
