CHILDCODE	LANGIDR5	LNCNSPR5	LNSPKR5	LNREADR5	LNWRTER5
71012	2	7	4	3	4
71013	1	1	1	1	1
71013	2	7	4	1	1
71014	1	1	1	1	1
71014	2	7	4	2	1
71015	1	1	1	1	1
71016	1	4	1	1	1
71016	2	1	4	4	5
71017	1	1	3	1	3
71017	2	4	1	1	1
71017	3	7	5	3	3
71018	1	1	4	5	4
71018	2	4	1	1	2
71019	1	1	1	2	2
71019	2	4	1	2	2
71020	1	1	2	2	1
71020	2	4	2	77	5
71020	3	5	3	3	4
71020	4	7	4	2	3
71021	1	1	1	3	4
71021	2	4	2	2	2
71021	3	5	2	3	3
71021	4	7	4	2	2
71022	1	4	1	1	1
71022	2	1	3	5	5
71023	1	1	1	1	1
71023	2	7	2	2	3
71023	3	4	2	77	5
71023	4	5	3	4	4
71024	1	4	1	1	1
71024	2	1	3	5	5
71025	1	4	1	1	1
71025	2	1	4	4	5
71025	3	7	5	4	4
71027	1	1	2	3	3
71027	2	4	1	1	1
71027	3	7	4	3	3
71027	4	5	3	2	2
71028	1	4	1	3	3
71028	2	1	2	4	4
71030	1	1	1	2	2
71030	2	7	5	3	2
71031	1	1	1	1	1
71031	2	7	3	1	1
71031	3	5	2	3	3
71031	4	4	2	5	5
71032	1	1	1	1	1
71032	2	4	4	4	5
71033	1	1	1	3	3
71033	2	4	1	5	5
71033	3	5	3	5	4
71034	1	4	1	1	1
71034	2	1	2	2	3
71034	3	7	4	2	1
71034	4	5	3	3	3
71035	1	4	1	1	1
71035	2	1	2	4	5
71035	3	7	4	3	3
71035	4	5	2	4	5
71036	1	1	1	2	2
71036	2	7	4	4	4
71039	1	1	1	1	1
71039	2	7	4	2	2
71042	1	1	1	1	1
71042	2	7	2	1	1
71042	3	5	2	3	3
71044	1	4	2	1	2
71044	2	1	2	1	2
71044	3	5	3	3	3
71044	4	7	3	3	3
71045	1	1	1	5	5
71045	2	3	4	5	5
71046	1	1	1	1	1
