CHILDID	PREID	AGEPRESC	PRESCDUR	PRESCTYP	PAYPRESC	PRESCCRE	DAYSPRES	HRSPRESC	PRESCVIS
VN050072	1	48	3	3	1	2	5	3	1
VN050073	1	57	1	3	1	2	5	3	1
VN050074	1	48	1	1	1	77	6	9	0
VN050074	2	52	4	3	1	3	5	9	0
VN050075	1	47	3	3	1	2	5	4	1
VN050076	1	45	4	3	1	2	5	4	1
VN050077	1	50	4	3	1	2	5	3	1
VN050078	1	56	1	3	1	2	5	4	1
VN050079	1	57	1	3	1	3	5	3	1
VN050080	1	59	1	3	1	2	5	3	1
VN050081	1	48	3	3	1	3	5	3	1
VN050082	1	42	3	3	1	2	5	4	1
VN050083	1	53	1	3	1	2	5	4	1
VN050085	1	48	3	3	1	2	5	4	1
VN050086	1	53	1	3	1	2	5	4	1
VN050087	1	55	1	3	1	2	5	3	1
VN050091	1	47	3	3	1	2	5	3	1
VN050092	1	55	1	3	0	2	5	4	1
VN050094	1	50	3	3	1	2	5	4	1
VN050095	1	-99	1	3	1	2	5	4	1
VN050096	1	59	4	3	1	3	5	4	1
VN050100	1	53	2	3	1	2	5	3	0
VN050102	1	58	1	3	1	3	5	4	1
VN050104	1	53	4	3	1	3	5	3	1
VN050105	1	59	1	3	1	2	5	4	1
VN050107	1	57	1	3	1	2	5	4	1
VN050108	1	56	1	3	1	2	5	3	1
VN050114	1	54	1	3	1	2	5	4	1
VN050115	1	45	1	3	1	2	5	3	1
VN050117	1	54	1	3	1	2	5	3	1
VN050118	1	62	1	3	0	1	5	3	1
VN060001	1	36	4	3	1	1	5	4	99
VN060002	1	48	1	2	1	2	6	3	1
VN060003	1	36	4	3	1	1	5	4	1
VN060004	1	36	4	3	1	1	5	4	1
VN060006	1	48	4	3	1	2	5	3	1
VN060007	1	48	4	3	1	2	5	3	1
VN060009	1	36	4	3	1	1	5	4	1
VN060010	1	36	4	3	1	2	5	4	0
VN060015	1	42	4	3	1	2	5	3	1
VN060016	1	36	4	3	1	1	5	4	1
VN060018	1	36	4	3	1	1	5	4	1
VN060019	1	36	4	3	1	1	5	4	1
VN060024	1	36	4	3	1	1	5	4	1
VN060025	1	48	4	3	1	2	5	3	1
VN060027	1	48	4	3	1	3	5	3	1
VN060028	1	48	2	3	1	2	5	8	1
VN060029	1	36	4	3	1	1	5	4	1
VN060031	1	48	4	3	1	2	5	7	1
VN060032	1	36	4	3	1	1	5	4	0
VN060033	1	36	4	3	1	1	5	4	1
VN060034	1	59	4	3	1	2	5	3	1
VN060035	1	60	4	3	1	3	5	3	1
VN060036	1	63	4	3	1	3	5	3	1
VN060037	1	36	4	3	1	1	5	4	0
VN060038	1	36	4	3	1	2	5	4	0
VN060039	1	57	4	3	1	3	5	3	1
VN060040	1	36	4	3	1	1	5	4	1
