FORMNO	CHILDID	ACTID	ACTYEST	ACTSUPER	ACTCARE	CHOICE
R28YRS	ET041027	4	10	0	1	1
R28YRS	ET041027	5	3	0	1	2
R28YRS	ET041028	1	1	1	0	1
R28YRS	ET041028	2	5	1	0	1
R28YRS	ET041028	3	10	0	0	1
R28YRS	ET041029	1	1	1	0	0
R28YRS	ET041029	2	5	1	1	0
R28YRS	ET041029	3	2	1	0	1
R28YRS	ET041029	4	7	0	0	0
R28YRS	ET041029	5	17	0	1	1
R28YRS	ET041030	1	5	0	0	0
R28YRS	ET041030	2	1	1	0	1
R28YRS	ET041030	3	3	1	1	1
R28YRS	ET041030	4	10	0	1	1
R28YRS	ET041031	1	17	0	1	1
R28YRS	ET041031	2	3	0	1	0
R28YRS	ET041031	3	2	1	0	0
R28YRS	ET041031	4	5	1	1	0
R28YRS	ET041032	1	17	0	0	1
R28YRS	ET041032	2	1	1	0	1
R28YRS	ET041032	3	7	1	0	0
R28YRS	ET041032	4	10	0	1	1
