PLACEID	ANFDIDR4	ITEM	PRICE	ACCOUNT
8264	3	POLLO	7,5	1
8267	1	PESCADO	6	1
8267	2	POLLO	6,5	1
8267	3	CARNE DE RES	10,2	1
8269	1	PESCADO	6	1
8269	2	POLLO	9	1
8269	3	CARNE DE RES	12	1
8273	1	POLLO	8	1
8273	2	HUEVO	0,4	2
8273	3	LECHE EVAPORADA	3	4
8274	1	QUESO	10	1
8274	2	CARNE DE RES	12	1
8274	3	POLLO	8	1
8275	1	POLLO	8	1
8275	2	CARNE	12	1
8275	3	HUEVO	5,2	1
8276	1	PESCADO	7	1
8276	2	CARNE DE RES	9	1
8276	3	POLLO	8,5	1
8277	1	CARNE	8	1
8277	2	HUEVO	0,4	2
8277	3	POLLO	7,5	1
8279	1	HUEVOS	5	1
8279	2	POLLO	8	1
8279	3	PESCADO	7	1
8281	1	POLLO	7	1
8281	2	PESCADO	8	1
8281	3	RES	10	1
8285	1	POLLO	7,5	1
8285	2	CARNE DE RES	15	1
8285	3	PESCADO	6	1
8286	1	POLLO	8,5	1
8286	2	PESCADO	5	1
8286	3	CARNE DE RES	16	1
8287	1	POLLO	7	1
8287	2	PESCADO	8,5	1
8287	3	LECHE	3	4
8290	1	POLLO	6	1
8290	2	RES	12	1
8290	3	PESCADO	7	1
8297	1	POLLO	8	1
8297	2	CARNE DE RES	15	1
8297	3	PESCADO	7	1
8298	1	POLLO	7,5	1
8298	2	PESCADO	8	1
8298	3	CARNE DE RES	15	1
8302	1	POLLO	7,2	1
8302	2	HUEVO	4,6	1
8302	3	LECHE	3,6	2
8304	1	POLLO	6,5	1
8304	2	ARROZ	2,2	1
8304	3	LECHE	2,9	2
8305	1	POLLO	7	1
8305	2	PESCADO	8	1
8305	3	LECHE	3	1
8306	1	POLLO	7,5	1
8306	2	HUEVO	5	1
8306	3	LECHE	3	4
8307	1	POLLO	7,4	1
8307	2	PESCADO	6,5	1
8307	3	HUEVO	5,5	1
8310	1	POLLO	7	1
8310	2	LECHE	3	1
8310	3	HUEVO	5,2	1
8311	1	POLLO	6,8	1
8311	2	QUESO	12	1
8311	3	HUEVO	4,5	1
8316	1	CARNE	12	1
8316	2	PESCADO	12	1
8316	3	LECHE	1,2	3
8317	1	LECHE	3	3
8317	2	CARNE	3,6	4
8317	3	MANZANA	0,25	2
8318	1	HUEVOS	0,3	2
8318	2	POLLO	12	1
8318	3	CARNE	9	1
8319	1	HUEVOS	6	1
8319	2	GALLINA	12	1
8319	3	POLLO	8	1
8320	1	POLLO	9	1
8320	2	LECHE	3	4
8320	3	HUEVOS	6,5	1
8321	1	POLLO	8	1
8321	2	PESCADO	7	1
8321	3	HUEVOS	0,4	2
8322	1	POLLO	9,5	1
8322	2	CARNE DE RES	9	1
8322	3	PESCADO	7	1
8323	1	CARNE DE RES	10	1
8323	2	QUESO	10	1
8323	3	POLLO	8	1
8325	1	HUEVO	4	2
8325	2	ATÚN	3,5	2
8325	3	MENUDENCIA	4,5	1
8327	1	POLLO	9	1
8327	2	HUEVO	5	1
8327	3	LECHE	3	2
8328	1	CARNE DE RES	8	1
8328	2	LECHE	4	3
8328	3	HUEVO	0,3	2
8333	1	HUEVO	5	1
8333	2	POLLO	10	1
8333	3	PESCADO	9	1
8334	1	GALLINA	10	1
8334	2	CHANCHO	7	1
8334	3	HUEVO	0,3	2
8336	1	GALLINA DE CORRAL	30	2
8336	2	HUEVO	0,3	2
8336	3	PESCADO BOCACHICA	8	1
8337	1	HUEVOS	0,3	2
8337	2	GALLINA	15	1
8337	3	PESCADO CABALLA	12	1
8340	1	POLLO	8,5	1
8340	2	PESCADO	9	1
8340	3	HUEVO	0,3	2
8341	1	CARNE DE RES	10	1
8342	1	POLLO	12	1
8342	2	QUESO	10	1
8342	3	HUEVO	0,3	2
8343	1	LECHE	1	3
8343	2	QUESO	8	1
8343	3	CARNE DE POLLO	7	1
8345	1	LECHE	3	2
8345	2	QUESILLO	10	1
8345	3	HUEVO	1	3
8348	1	POLLO	7,8	1
