CHILDCODE	NONFODR4	PURITMR4	SPYRR4	SPNMR4
10020	27	N	 	 
10020	28	N	 	 
10020	29	N	 	 
10020	30	N	 	 
10020	31	N	 	 
10021	1	Y	1000	 
10021	2	Y	1500	 
10021	3	Y	1000	4
10021	4	Y	1000	88
10021	5	Y	400	 
10021	6	Y	250	 
10021	7	Y	300	4
10021	8	Y	600	88
10021	9	N	 	 
10021	10	N	 	 
10021	11	N	 	 
10021	12	N	 	 
10021	13	N	 	 
10021	14	N	 	 
10021	15	Y	1000	3
10021	16	Y	4500	4
10021	17	N	 	 
10021	18	Y	200	1
10021	19	N	 	 
10021	20	N	 	 
10021	21	Y	1560	1
10021	22	N	 	 
10021	23	N	 	 
10021	24	N	 	 
10021	25	N	 	 
10021	26	Y	5000	1
10021	27	N	 	 
10021	28	N	 	 
10021	29	N	 	 
10021	30	N	 	 
10021	31	N	 	 
10023	1	Y	3000	 
10023	2	Y	4000	 
10023	3	Y	3000	88
10023	4	Y	2500	4
10023	5	Y	600	 
10023	6	Y	400	 
10023	7	Y	400	88
10023	8	Y	800	4
10023	9	N	 	 
10023	10	N	 	 
10023	11	Y	20000	4
10023	12	Y	19000	88
10023	13	N	 	 
10023	14	N	 	 
10023	15	Y	7000	1
10023	16	Y	10000	2
10023	17	Y	400	0
10023	18	Y	3000	1
10023	19	N	 	 
10023	20	N	 	 
10023	21	Y	2040	0
10023	22	Y	2000	2
10023	23	N	 	 
10023	24	N	 	 
10023	25	N	 	 
10023	26	Y	9000	2
10023	27	N	 	 
10023	28	N	 	 
10023	29	N	 	 
10023	30	N	 	 
10023	31	N	 	 
10024	1	Y	500	 
10024	2	Y	600	 
10024	3	Y	500	4
10024	4	Y	500	88
10024	5	Y	100	 
10024	6	Y	50	 
10024	7	Y	100	4
10024	8	Y	100	88
10024	9	N	 	 
10024	10	N	 	 
10024	11	N	 	 
10024	12	N	 	 
10024	13	N	 	 
10024	14	N	 	 
10024	15	Y	500	1
10024	16	N	 	 
10024	17	Y	200	1
10024	18	Y	1200	1
10024	19	N	 	 
10024	20	N	 	 
10024	21	N	 	 
10024	22	N	 	 
10024	23	Y	11000	4
10024	24	N	 	 
10024	25	N	 	 
10024	26	N	 	 
10024	27	N	 	 
10024	28	N	 	 
10024	29	N	 	 
10024	30	N	 	 
10024	31	N	 	 
10025	1	Y	1200	 
10025	2	Y	3500	 
10025	3	N	 	 
10025	4	Y	4000	4
10025	5	Y	300	 
10025	6	Y	500	 
10025	7	N	 	 
10025	8	Y	800	4
10025	9	Y	2000	4
10025	10	N	 	 
10025	11	Y	18000	4
10025	12	N	 	 
10025	13	Y	6000	4
10025	14	N	 	 
10025	15	Y	3000	4
10025	16	Y	6000	4
10025	17	Y	1500	0
10025	18	Y	3000	1
10025	19	N	 	 
10025	20	N	 	 
10025	21	Y	2040	1
10025	22	Y	600	4
10025	23	N	 	 
10025	24	N	 	 
10025	25	N	 	 
10025	26	Y	500	1
10025	27	N	 	 
10025	28	N	 	 
10025	29	N	 	 
10025	30	N	 	 
10025	31	N	 	 
10026	1	Y	2000	 
10026	2	Y	2000	 
10026	3	Y	1500	1
10026	4	N	 	 
10026	5	Y	800	 
10026	6	Y	500	 
10026	7	Y	600	1
10026	8	N	 	 
10026	9	N	 	 
10026	10	N	 	 
10026	11	N	 	 
10026	12	Y	20000	4
10026	13	N	 	 
10026	14	N	 	 
10026	15	Y	500	1
10026	16	Y	600	1
10026	17	N	 	 
10026	18	N	 	 
10026	19	N	 	 
10026	20	N	 	 
10026	21	Y	1800	1
10026	22	Y	600	2
10026	23	N	 	 
10026	24	N	 	 
10026	25	N	 	 
10026	26	Y	1000	1
10026	27	N	 	 
10026	28	N	 	 
10026	29	N	 	 
10026	30	N	 	 
10026	31	N	 	 
10027	1	Y	2000	 
10027	2	Y	1500	 
10027	3	Y	3500	2
10027	4	N	 	 
10027	5	Y	300	 
10027	6	Y	200	 
10027	7	Y	600	2
10027	8	N	 	 
10027	9	N	 	 
10027	10	Y	1000	4
10027	11	N	 	 
10027	12	N	 	 
10027	13	N	 	 
10027	14	N	 	 
10027	15	Y	1500	2
10027	16	N	 	 
10027	17	Y	1000	2
10027	18	Y	2000	2
10027	19	N	 	 
10027	20	N	 	 
10027	21	Y	2040	2
10027	22	N	 	 
10027	23	N	 	 
10027	24	N	 	 
10027	25	N	 	 
10027	26	N	 	 
10027	27	N	 	 
10027	28	N	 	 
10027	29	N	 	 
10027	30	N	 	 
10027	31	N	 	 
10028	1	Y	2000	 
10028	2	Y	4000	 
10028	3	Y	2000	88
10028	4	Y	2000	4
10028	5	Y	500	 
10028	6	Y	800	 
10028	7	Y	600	88
10028	8	Y	300	4
10028	9	Y	2000	4
10028	10	Y	3000	88
10028	11	N	 	 
10028	12	N	 	 
10028	13	N	 	 
10028	14	N	 	 
10028	15	Y	8000	1
10028	16	Y	11000	2
10028	17	Y	500	0
10028	18	Y	1000	1
10028	19	N	 	 
10028	20	N	 	 
10028	21	N	 	 
10028	22	Y	2000	1
10028	23	N	 	 
10028	24	N	 	 
10028	25	N	 	 
