CHILDCODE	NREGIDR4	MEMREGR4	NEG1DYR4	NEG1WGR4	NEG2DYR4	NEG2WGR4
90049	1	2	0	0	50	4000
90053	1	2	24	1200	0	0
90053	2	3	24	1200	0	0
90053	3	4	24	1200	0	0
90054	1	3	12	960	0	0
90054	2	1	26	2080	0	0
90054	3	6	18	1440	0	0
90055	1	4	27	1620	0	0
90055	2	2	27	1620	0	0
90055	3	3	27	1620	0	0
90058	1	1	72	5040	0	0
90058	2	2	72	5040	0	0
90059	1	2	10	900	0	0
90060	1	1	52	4160	0	0
90060	2	2	52	4160	0	0
90064	1	3	50	4500	0	0
90068	1	2	0	0	30	2100
90072	1	1	50	3500	0	0
90072	2	2	50	3500	0	0
90072	3	4	24	1680	0	0
90074	1	3	20	1400	0	0
90075	1	1	10	800	0	0
90075	2	2	30	2400	0	0
90076	1	1	54	4320	0	0
90076	2	2	36	2880	0	0
90077	1	2	0	0	12	840
90078	1	5	40	3360	0	0
90078	2	4	40	3360	0	0
90078	3	1	40	3360	0	0
90078	4	2	40	3360	0	0
90080	1	1	0	0	60	4800
90080	2	2	0	0	60	4800
90081	1	1	0	0	15	1200
90081	2	2	0	0	15	1200
90083	1	2	20	1200	60	3600
90083	2	4	20	1200	60	3600
90083	3	7	20	1200	60	3600
90085	1	3	16	900	0	0
90086	1	2	11	770	0	0
90086	2	3	11	770	0	0
90087	1	6	12	840	0	0
90088	1	5	12	600	0	0
90088	2	6	12	600	0	0
90089	1	1	28	1960	0	0
90089	2	3	28	1960	0	0
90090	1	1	20	1200	30	1800
90090	2	2	20	1200	30	1800
90099	1	2	48	3120	0	0
90100	1	2	12	720	0	0
100049	1	1	72	4320	0	0
110001	1	1	0	0	28	2826
110001	2	2	0	0	26	2632
110002	1	1	0	0	25	2380
110002	3	2	0	0	20	1980
110003	1	2	60	4200	40	3321
110003	2	3	60	4200	40	3321
110004	1	3	0	0	0	0
110005	1	4	30	3300	20	2200
110005	2	5	30	3300	20	2200
110005	3	7	20	2000	10	1000
110007	1	4	0	0	30	3161
110007	2	5	0	0	26	2696
110008	1	5	0	0	40	6000
110008	2	6	60	5400	40	3200
110011	1	2	48	4800	50	5000
110011	2	1	48	6000	50	7500
110012	1	4	72	7200	0	0
110012	2	3	72	7200	0	0
110013	1	2	8	980	22	2420
110013	2	3	8	980	22	2420
110013	3	5	8	980	22	2420
