placeid	anmlfdid	item	price	account
PE81MC15	2	CARNE DE CARNERO	9	1
PE81MC15	3	POLLO	5.5	1
PE81MC16	1	POLLO	5.5	1
PE81MC16	2	PESCADO	3	1
PE81MC16	3	RES	9	1
PE81MC17	1	POLLO	5.80000019073486	1
PE81MC17	2	PESCADO	4	1
PE81MC17	3	RES	13	1
PE81MC18	1	POLLO	5.5	1
PE81MC18	2	CARNE	9	1
PE81MC18	3	PESCADO	3.5	1
PE81MC19	1	POLLO	4.5	1
PE81MC19	2	CARNE	8	1
PE81MC19	3	PESCADO	3	1
PE81MC20	1	POLLO	4.80000019073486	1
PE81MC20	2	CARNE DE RES	8	1
PE81MC20	3	PESCADO	3.5	1
PE81MC21	1	POLLO	6	1
PE81MC21	2	PESCADO	4	1
PE81MC21	3	CARNERO	7	1
PE81MC22	1	POLLO	6	1
PE81MC22	2	PESCADO	3.5	1
PE81MC22	3	CERDO	6	1
PE81MC23	1	POLLO	4.80000019073486	1
PE81MC23	2	CARNE DE RES	10	1
PE81MC23	3	PESCADO	4	1
PE81MC24	1	CARNE	7	1
PE81MC24	2	POLLO	5.80000019073486	1
PE81MC24	3	HUEVOS	3.59999990463257	1
PE81MC25	1	CARNE	8	1
PE81MC25	2	POLLO	5.59999990463257	1
PE81MC25	3	HUEVOS	3.70000004768372	1
PE81MC26	1	POLLO	4.80000019073486	1
PE81MC26	2	PESCADOR	3	1
PE81MC26	3	HUEVOS	3.5	1
PE81MC27	1	POLLO	4.5	1
PE81MC27	2	HUEVOS	3	1
PE81MC27	3	PESCADO	3	1
PE81MC28	1	PESCADO	3	1
PE81MC28	2	POLLO	5.40000009536743	1
PE81MC28	3	CARNE DE RES	9	1
PE81MC29	1	POLLO	5.5	1
PE81MC29	2	CUY	10	2
PE81MC29	3	GALLINA	14	2
PE81MC30	1	POLLO	6.5	1
PE81MC30	2	HUEVO	4.5	1
PE81MC30	3	PESCADO	6	1
PE81MC31	1	POLLO	6	1
PE81MC31	2	RES	7	1
PE81MC31	3	PESCADO	3.5	1
PE81MC32	1	POLLO	5.80000019073486	1
PE81MC32	2	LECHE	1.39999997615814	3
PE81MC32	3	CARNE	10	1
PE81MC33	1	POLLO	5	1
PE81MC33	2	CERDO	4.5	1
PE81MC33	3	HUEVOS	3.5	1
PE81MC34	1	POLLO	5.19999980926514	1
PE81MC34	2	PESCADO	1	2
PE81MC34	3	CARNE RES	8	1
PE81MC35	1	LECHE	1	3
PE81MC35	2	HUEVOS	3	1
PE81MC35	3	POLLO	5	1
PE81MC36	1	RES	7	1
PE81MC36	2	POLLO	6.5	1
PE81MC36	3	PESCADO CONGELADO	5	1
PE81MC37	1	PESCADO(CABALLA)	2	1
PE81MC37	2	POLLO	6.40000009536743	1
PE81MC37	3	RES	7	1
PE81MC38	1	POLLO	6	1
PE81MC38	2	HUEVOS	.5	2
PE81MC38	3	CARNE DE RES	10	1
PE81MC39	1	CARNE RES	7	1
PE81MC39	2	LECHE	2	3
PE81MC39	3	HUEVO	3.79999995231628	1
PE81MC40	1	POLLO	5.5	1
PE81MC40	2	RES	6	1
PE81MC40	3	CUY	5	1
PE81MC41	1	PESCADO	3	1
PE81MC41	2	HUEVOS	.25	2
PE81MC41	3	CARNERO	7	1
PE81MC42	1	LECHE DE VACA	1.20000004768372	3
PE81MC42	2	CARNE	6	1
PE81MC42	3	HUEVO	.200000002980232	2
PE81MC43	1	LECHE DE VACA	1.20000004768372	3
PE81MC43	2	VISERAS DE POLLO	4	1
PE81MC43	3	HUESO	.300000011920929	2
PE81MC43	4	PESCADO CACHEMA	7	1
PE81MC44	1	POLLO	6	1
PE81MC44	2	PESCADO	3	1
PE81MC44	3	CABRITO	7	1
PE81MC45	1	CABRITO	6	1
PE81MC45	2	PESCADO	3	1
PE81MC45	3	POLLO	5	1
PE81MC46	1	PESCADO	8	1
PE81MC46	2	POLLO	5	1
PE81MC46	3	CARNE	12	1
PE81MC47	1	CORDERO	6.5	1
PE81MC48	1	CORDERO	6	1
PE81MC48	2	PESCADO	5	1
PE81MC48	3	POLLO	6.5	1
PE81MC49	1	CARNE DE RES	5	1
PE81MC49	2	CARNE DE CORDERO	6	1
PE81MC49	3	PESCADO	4	1
PE81MC50	1	CORDERO	7	1
PE81MC50	2	LECHE	1	3
PE81MC50	3	HUEVOS	2.5	1
PE81MC51	1	CORDERO	6	1
PE81MC51	2	RES	7	1
PE81MC51	3	POLLO	6	1
PE81MC52	1	CORDERO	6	1
PE81MC52	2	HUEVOS	3.79999995231628	1
PE81MC52	3	QUESO	10	1
PE81MC53	1	ALPACA	2	4
PE81MC53	2	CARNERO	2.5	4
PE81MC53	3	LLAMA	2	4
PE81MC54	1	CORDERO	5	1
PE81MC54	2	ALPACA	4	1
PE81MC54	3	RES	4	1
PE81MC55	1	CARNE DE RES	6	1
PE81MC55	2	CARNE DE OVINO	7	1
PE81MC55	3	GALLINA	15	2
PE81MC56	1	GANADO VACUNO	6.5	1
PE81MC56	2	GANADO OVINO	12	1
PE81MC56	3	QUESO	12	1
PE81MC57	1	CARNE DE RES	6	1
PE81MC57	2	POLLO	6.5	1
PE81MC57	3	CARNE CARNERO	7.5	1
PE81MC58	1	CARNE OVINO	8	1
PE81MC58	2	HUEVO	4	1
PE81MC58	3	QUESO	8	1
PE81MC59	1	CARNE DE GALLINA	12	1
PE81MC59	2	CARNE DE CERDO	8	1
PE81MC59	3	CARNE DE RES	6	1
PE81MC60	1	CERDO	6	1
PE81MC60	2	RES	6	1
PE81MC60	3	POLLO	6	1
PE81MC61	1	RES	9	1
PE81MC61	2	POLLO	7	1
PE81MC61	3	CERDO	7	1
PE81MC62	1	LECHE	1	3
PE81MC62	2	CARNE	6	1
PE81MC62	3	QUESO	6	1
PE81MC63	1	GALLINA	15	2
PE81MC63	2	PESCADO	7	1
PE81MC63	3	CUY	10	2
PE81MC64	1	CARNE DE SAJINO	6	1
PE81MC64	2	CARNE DE CARACHUPA	5	1
PE81MC64	3	LECHE DE VACA	1	3
PE81MC65	1	HUEVOS	.25	2
