CHILDCODE	IMEVIDR4	RKEVR4	LOSS02R4	LOSS03R4	LOSS04R4	LOSS05R4	LOSS06R4	RESEVR41	RESEVR42	RESEVR43
51001	2	 	 	 	 	 	 	 	 	 
51001	3	 	 	 	 	 	 	 	 	 
51002	1	 	 	 	 	 	 	 	 	 
51002	2	 	 	 	 	 	 	 	 	 
51002	3	 	 	 	 	 	 	 	 	 
51003	1	47	 	 	3	3	3	7	88	88
51003	2	88	 	 	 	 	 	 	 	 
51003	3	88	 	 	 	 	 	 	 	 
51004	1	27	 	 	 	4	 	20	7	88
51004	2	14	 	3	 	 	 	7	88	88
51004	3	88	 	 	 	 	 	 	 	 
51005	1	29	 	 	 	 	4	18	7	88
51005	2	88	 	 	 	 	 	 	 	 
51005	3	88	 	 	 	 	 	 	 	 
51006	1	 	 	 	 	 	 	 	 	 
51006	2	 	 	 	 	 	 	 	 	 
51006	3	 	 	 	 	 	 	 	 	 
51007	1	38	 	 	3	3	3	17	20	15
51007	2	29	 	 	2	 	2	2	7	88
51007	3	39	 	 	 	2	2	17	7	88
51008	1	47	 	3	3	3	4	2	1	12
51008	2	10	 	 	 	2	 	7	88	88
51008	3	1	 	 	 	2	 	7	88	88
51009	1	25	 	 	3	4	3	1	2	7
51009	2	88	 	 	 	 	 	 	 	 
51009	3	88	 	 	 	 	 	 	 	 
51010	1	 	 	 	 	 	 	 	 	 
51010	2	 	 	 	 	 	 	 	 	 
51010	3	 	 	 	 	 	 	 	 	 
51012	1	47	 	 	 	 	2	7	88	88
51012	2	88	 	 	 	 	 	 	 	 
51012	3	88	 	 	 	 	 	 	 	 
51013	1	 	 	 	 	 	 	 	 	 
51013	2	 	 	 	 	 	 	 	 	 
51013	3	 	 	 	 	 	 	 	 	 
51014	1	29	 	 	 	4	 	2	1	16
51014	2	47	 	 	 	3	3	18	2	1
51014	3	38	 	 	 	2	 	2	1	7
51015	1	28	 	 	 	3	 	7	88	88
51015	2	25	 	 	 	 	1	7	88	88
51015	3	88	 	 	 	 	 	 	 	 
51016	1	12	 	 	 	3	 	17	2	1
51016	2	47	 	 	2	2	3	2	1	88
51016	3	38	 	 	 	 	2	2	7	88
51017	1	 	 	 	 	 	 	 	 	 
51017	2	 	 	 	 	 	 	 	 	 
51017	3	 	 	 	 	 	 	 	 	 
51018	1	27	 	 	3	 	 	7	88	88
51018	2	88	 	 	 	 	 	 	 	 
51018	3	88	 	 	 	 	 	 	 	 
51019	1	16	 	 	 	4	4	16	7	88
51019	2	14	 	 	 	3	 	7	88	88
51019	3	29	 	 	 	 	3	1	7	88
51021	1	29	 	 	 	3	 	16	1	2
