CHILDCODE	SPPGIDR4	SUPKNDR4	SUPWHOR4	SUPSRTR4	SUPENDR4	SUPFRQR4	SUPTARR4
121023	1	17	55	2002	9999	4	80
121023	2	1	5	1998	9999	4	80
121026	1	1	5	1999	-9999	5	1
121026	2	5	1	2003	-9999	10	2
121027	1	12	14	2006	9999	10	21
121027	2	5	15	2006	999	4	18
121028	1	8	6	2002	-9999	8	2
121028	2	1	5	2000	-9999	9	80
121031	1	1	6	1996	-9999	8	1
121033	1	1	5	1995	9999	10	80
121037	1	8	6	2005	9999	8	0
121038	1	17	6	2000	9999	10	80
121038	2	1	5	2000	9999	12	80
121040	1	1	5	2002	9999	4	80
121043	1	1	5	2000	9999	4	80
121043	2	22	11	2004	9999	12	2
121048	1	1	5	1997	9999	4	80
121048	2	22	11	2004	9999	4	80
121053	1	1	5	1996	9999	5	80
131001	1	17	6	2000	9999	8	80
131002	1	17	6	2000	9999	9	80
131005	1	17	6	2002	9999	8	80
131005	2	8	6	2002	9999	8	2
131006	1	12	15	2001	9999	4	1
131008	1	17	6	2002	9999	8	80
131009	1	17	6	2005	9999	5	80
131009	2	7	6	2005	9999	5	80
131010	1	17	6	2003	9999	5	80
131011	1	7	5	2000	9999	10	80
