CHILDCODE	CRSPIDR4	GAVCRDR4	WHORCVR4	TKEOUTR4	LOANMTR4	LOANYRR4	AMTCRDR4	INTRTER4	PYBACKR4	PYBCTMR4	NOBACKR4
71034	1	6	5	1	8	2004	5000	10	0	 	 
71034	2	9	5	2	1	2005	500	5	1	1	 
71037	1	6	1	2	7	2004	1300	12	1	1	 
71037	2	6	1	16	6	2005	5000	12	0	 	 
71039	1	8	1	10	8	2005	2000	0	0	 	 
71039	2	8	1	7	13	2005	2000	0	0	 	 
71040	1	2	1	2	9	2003	1500	15	0	 	 
71041	1	7	7	12	7	2004	3500	18	0	 	 
71042	1	6	2	14	8	2002	5000	18	0	 	 
71043	1	7	1	1	6	2002	1000	18	0	 	 
71045	1	7	4	14	6	2005	3500	18	0	 	 
71046	1	15	1	2	8	2004	100	3	1	1	 
71046	2	15	1	2	12	2005	100	3	0	 	 
71047	1	7	2	14	6	2005	4000	18	0	 	 
71047	2	7	2	1	6	2004	3000	18	1	1	 
71047	3	7	2	10	6	2003	2500	18	1	1	 
71048	1	7	1	1	7	2004	3000	18	1	1	 
71048	2	7	1	19	7	2003	3000	18	1	1	 
71048	3	7	1	19	7	2002	3000	18	1	1	 
71048	4	8	1	10	12	2004	500	0	1	1	 
71048	5	8	1	2	5	2006	50	0	1	1	 
71049	1	7	2	2	5	2003	1000	18	1	1	 
71049	2	7	2	1	7	2004	2000	18	1	1	 
71049	3	7	2	1	7	2005	1200	18	0	 	 
81002	1	8	17	6	12	2005	400	0	1	0	6
81003	1	8	1	17	5	2005	200	0	1	1	 
81004	1	9	1	1	1	2006	1500	0	1	1	 
81004	2	9	1	7	7	2005	600	0	1	1	 
81005	1	10	3	7	5	2002	400	0	1	1	 
81005	2	10	3	7	12	2004	300	0	1	1	 
81005	3	10	3	13	12	2004	700	0	1	1	 
81005	4	10	3	13	10	2005	300	0	1	1	 
81006	1	10	0	7	77	2005	100	0	1	1	 
81009	1	7	1	41	9	2003	2000	30	1	1	 
81009	2	5	1	13	4	2005	3000	30	0	 	 
81009	3	10	1	10	8	2005	200	0	0	 	 
81009	4	9	2	4	3	2006	250	0	1	1	 
81010	1	8	7	7	4	2004	1000	0	1	1	 
81010	2	8	7	7	1	2004	1200	0	1	0	6
81011	1	10	16	13	77	2005	400	0	1	1	 
81012	1	8	21	6	8	2005	200	0	1	1	 
81012	2	8	21	2	12	2005	100	0	1	1	 
81013	1	8	2	2	2	2005	2000	0	1	1	 
81014	1	8	1	7	2	2006	1200	0	0	 	 
81014	2	8	1	2	10	2005	150	0	1	1	 
81015	1	8	2	13	77	2003	500	0	1	0	6
81015	2	8	2	10	12	2005	500	0	1	1	 
81016	1	9	2	3	9	2004	700	0	1	1	 
81017	1	8	1	6	2	2006	2500	0	0	 	 
81017	2	9	1	7	2	2005	300	0	1	0	2
81017	3	9	2	7	8	2004	500	0	0	 	 
81018	1	9	2	6	77	2002	500	0	1	1	 
81018	2	10	2	1	1	2006	400	0	1	1	 
81019	1	8	1	17	1	2006	1000	0	1	1	 
81019	2	8	1	1	77	2005	300	0	1	1	 
81020	1	9	2	7	12	2005	100	0	1	1	 
81020	2	9	2	6	1	2006	100	0	1	1	 
81021	1	8	7	5	4	2005	300	0	1	1	 
81021	2	8	7	7	3	2006	800	0	1	1	 
81023	1	8	2	2	11	2005	150	0	1	1	 
81025	1	7	1	1	11	2005	6000	20	0	 	 
81025	2	7	1	1	8	2004	400	20	1	1	 
81025	3	7	1	1	10	2003	3000	20	1	1	 
