CHILDCODE	RNKINCR4	IMPACTR4	INCPEBR4
121048	1	1	12
121048	2	2	8
121053	1	1	10
121053	2	2	7
121053	3	6	3
121054	1	7	20
121056	1	6	12
121056	2	1	6
121056	3	11	2
131001	1	6	16
131001	2	10	4
131002	1	10	15
131002	2	6	5
131004	1	8	16
131004	2	10	4
131005	1	8	20
131006	1	10	7
131006	2	8	10
131006	3	11	3
131007	1	6	15
131007	2	11	5
131008	1	6	20
131009	1	6	14
131009	2	11	6
131010	1	6	20
131011	1	6	13
131011	2	10	5
131011	3	1	2
131012	1	1	12
131012	2	6	6
131012	3	11	2
131013	1	11	16
131013	2	1	4
131015	1	11	18
131015	2	6	2
131016	1	1	9
131016	2	10	5
131016	3	6	4
131016	4	11	2
131017	1	5	20
131018	1	10	20
131020	1	10	20
131021	1	6	14
131021	2	11	4
131021	3	10	2
131022	1	11	13
131022	2	6	3
131022	3	7	2
131022	4	10	2
131023	1	10	15
131023	2	6	5
131024	1	6	20
131025	1	6	18
131025	2	8	2
131026	1	11	12
131026	2	7	3
131026	3	8	5
131027	1	6	18
131027	2	10	2
131028	1	6	15
131028	2	11	5
131029	1	6	10
131029	2	2	2
131029	3	1	4
131029	4	4	3
131030	1	6	14
131030	2	8	6
131031	1	6	20
131032	1	6	20
131033	1	6	15
131033	2	10	5
131034	1	6	17
131034	2	10	3
131035	1	6	18
131035	2	11	2
131036	1	6	11
131036	2	5	9
131037	1	11	10
131037	2	6	6
131037	3	8	4
131038	1	1	2
131038	2	6	10
131038	3	10	8
131039	1	1	15
131039	2	11	5
131040	1	6	18
131040	2	11	2
131041	1	6	20
131042	1	6	20
131043	1	5	7
131043	2	7	6
131043	3	11	4
131043	4	1	2
131043	5	2	1
131044	1	10	20
131045	1	7	20
131046	1	10	20
131047	1	6	16
131047	2	9	4
131048	1	10	20
131049	1	5	15
131049	2	6	5
131050	1	5	13
131050	2	6	7
141001	1	7	12
141001	2	1	8
141002	1	10	20
141004	1	8	12
141004	2	6	3
141004	3	11	5
141005	1	10	20
141006	1	10	10
141006	2	2	4
