CHILDID	OUTID	REMRELR3	REMESTR3	REMGODR3
VN110029	2	13	200	0
VN110029	3	19	1000	0
VN110030	1	6	300	200
VN110030	2	5	300	200
VN110030	3	13	600	100
VN110031	1	5	150	0
VN110031	2	19	700	0
VN110032	1	6	100	0
VN110035	1	6	2000	-88
VN110040	1	5	200	50
VN110042	1	14	1150	-88
VN110043	1	6	400	100
VN110045	1	6	5000	0
VN110050	1	14	500	240
VN110052	1	6	300	60
VN110052	2	5	200	60
VN110060	1	13	3000	50
VN110060	2	6	300	100
VN110064	1	13	500	50
VN110075	1	6	350	0
VN110075	2	6	200	0
VN110075	3	7	300	0
VN110082	1	13	10000	0
VN110091	1	13	1000	300
VN110093	1	5	-88	150
VN110093	2	6	-88	120
VN110093	3	7	-88	50
VN110098	1	6	200	100
VN110098	2	5	150	100
VN110099	1	13	1500	0
VN110099	2	19	300	0
VN110101	1	6	12000	3500
VN110104	1	13	12000	0
VN110108	1	5	200	50
VN110108	2	6	260	70
VN110119	1	1	500	0
VN110119	2	7	500	0
VN110121	1	13	300	0
VN120003	1	5	200	500
VN120003	2	6	250	200
VN120012	1	5	100	150
VN120016	1	13	500	100
VN120017	1	6	1000	0
VN120041	1	13	100	200
VN120049	1	13	12000	0
VN120053	1	5	-88	80
VN120053	2	6	500	50
VN120060	99	 	 	 
VN120065	1	5	2000	0
VN120065	2	13	200	0
VN120079	1	5	500	-88
VN120079	2	6	200	-88
VN120080	1	5	100	50
VN120080	2	6	100	50
VN120083	1	6	500	0
VN120083	2	5	500	0
VN120089	1	6	-88	200
VN120089	2	5	200	-88
VN120089	3	13	400	-88
VN120125	1	5	200	50
VN120125	2	6	300	50
VN120133	1	5	500	100
VN120134	1	5	100	50
VN120139	1	18	400	-88
VN120139	2	13	-88	150
VN130001	1	6	200	0
VN130001	2	5	0	200
VN130001	3	13	1000	0
VN130002	1	13	500	0
VN130002	2	5	300	0
VN130002	3	6	300	0
VN130003	1	5	1000	0
VN130003	2	6	0	200
VN130004	1	5	500	500
VN130004	2	6	500	500
VN130004	3	13	700	0
VN130005	1	13	200	100
VN130006	1	6	300	100
VN130006	2	14	100	0
VN130007	1	13	500	500
VN130007	2	5	100	50
VN130008	1	18	100	0
VN130008	2	17	150	0
VN130008	3	13	100	0
VN130009	1	13	1000	0
VN130010	1	13	0	150
VN130010	2	6	0	300
VN130010	3	5	0	300
VN130011	1	13	200	0
VN130011	2	5	300	0
VN130011	3	6	300	0
VN130011	4	19	0	200
VN130012	1	6	300	0
VN130012	2	13	1500	0
VN130012	3	14	500	0
VN130013	1	5	100	0
VN130013	2	6	100	0
VN130013	3	13	50	0
VN130014	1	13	600	0
VN130014	2	18	200	0
VN130015	1	14	150	0
VN130015	2	19	90	0
VN130016	1	13	500	0
VN130016	2	5	200	0
VN130017	1	17	300	30
VN130017	2	6	1500	300
VN130017	3	5	300	50
VN130017	4	13	400	0
VN130019	1	13	800	0
VN130020	1	13	500	0
VN130020	2	19	400	0
VN130020	3	5	0	100
VN130020	4	6	300	100
VN130021	1	5	300	0
VN130021	2	6	300	0
VN130021	3	13	400	50
VN130022	1	19	500	0
VN130022	2	13	1000	0
VN130022	3	5	1000	0
VN130022	4	6	1000	0
VN130023	1	13	500	0
VN130023	2	5	100	200
VN130023	3	19	500	0
VN130024	1	6	1000	0
VN130024	2	5	1000	0
VN130024	3	13	2000	0
VN130025	1	13	1150	0
VN130025	2	13	300	100
VN130025	3	5	100	0
VN130026	1	6	400	0
VN130026	2	5	400	0
