CHILDID	PASSID	NUMASTR3	ASSETR3	ASTACTR3	NUMOWNR3	VALASTR3
IN070064	1	5	1	11	1	700
IN070064	2	2	4	11	2	900
IN070065	1	1	7	11	1	150000
IN070065	2	6	1	11	6	1000
IN070066	1	8	1	11	8	1500
IN070066	2	7	1	11	1	150000
IN070067	1	4	1	11	1	300
IN070068	1	1	4	11	1	500
IN070068	2	1	9	2	1	500
IN070068	3	3	8	11	1	1500
IN070069	1	3	1	11	3	300
IN070071	1	2	1	29	0	 
IN070072	1	3	4	11	3	800
IN070072	2	5	1	11	5	700
IN070072	3	2	8	11	2	750
IN070074	1	5	1	5	5	320
IN070075	1	8	1	11	8	1500
IN070077	1	1	25	8	1	700
IN070078	1	2	1	11	2	80
IN070080	1	15	11	11	15	2000
IN070080	2	3	23	23	3	4000
IN070081	1	2	23	23	2	2000
IN070082	1	3	4	11	0	 
IN070082	2	1	2	11	0	 
IN070082	3	1	3	11	0	 
IN070083	1	4	1	11	4	400
IN070084	1	2	21	21	2	1800
IN070085	1	1	21	21	1	5500
IN070086	1	3	1	11	3	150
IN070087	1	5	1	11	5	700
IN070090	1	2	23	23	2	4000
IN070091	1	2	23	23	2	200
IN070092	1	1	4	11	1	500
IN070092	2	2	1	11	2	150
IN070092	3	2	1	11	2	100
IN070093	1	6	1	11	6	600
IN070094	1	1	1	11	1	50
IN070095	1	1	30	26	1	650
IN070095	2	5	30	26	5	1000
IN070095	3	3	30	26	3	200
IN070096	1	8	1	11	8	900
IN070097	1	2	13	7	1	70
IN070097	2	2	1	11	2	100
IN070099	1	2	1	29	1	170
IN070100	1	3	1	29	0	 
IN080001	1	2	1	11	2	200
IN080002	1	5	1	11	5	250
IN080002	2	1	7	11	1	40000
IN080002	3	1	4	11	1	3000
IN080003	1	2	1	11	2	100
IN080004	1	2	1	8	2	300
IN080004	2	1	25	24	1	28000
IN080005	1	4	30	26	4	50
IN080007	1	2	1	11	2	70
IN080007	2	1	7	11	0	-88
IN080008	1	1	7	11	0	-88
IN080008	2	1	30	23	1	10000
IN080009	1	3	1	11	3	150
IN080010	1	2	1	11	2	50
IN080010	2	1	7	11	0	-88
IN080011	1	4	1	11	4	150
IN080011	2	1	7	11	0	-88
IN080012	1	4	1	11	4	120
IN080013	1	2	1	11	2	50
IN080014	1	10	1	11	5	230
IN080014	2	1	7	11	0	-88
IN080015	1	3	30	32	3	900
IN080015	2	1	2	32	1	9000
IN080015	3	1	12	32	1	100
IN080016	1	2	1	11	2	100
IN080017	1	2	1	8	2	80
IN080018	1	3	1	11	3	100
IN080018	2	1	7	11	0	-88
IN080019	1	10	1	11	10	1300
IN080019	2	20	5	11	20	6000
IN080019	3	1	7	11	0	-88
IN080020	1	1	2	32	1	5000
IN080020	2	1	12	32	1	1000
IN080021	1	5	1	11	5	250
IN080021	2	1	7	11	0	-88
IN080022	1	6	30	32	6	2500
IN080022	2	1	2	32	1	3000
IN080022	3	1	12	32	1	350
IN080023	1	4	12	32	4	1200
IN080023	2	1	2	32	1	6000
IN080024	1	4	1	11	4	120
IN080024	2	1	7	11	0	-88
IN080025	1	4	1	8	4	300
IN080026	1	6	1	11	6	700
IN080026	2	1	7	11	0	-88
IN080026	3	1	3	11	0	-88
IN080027	1	20	17	23	20	14000
IN080028	1	4	14	9	4	2500
IN080028	2	6	1	11	6	630
IN080028	3	1	7	11	0	-88
IN080029	1	2	1	11	2	50
IN080029	2	1	14	9	1	1500
