CHILDID	SUPPRGID	SUPKNDR3	SUPWHOR3	SUPSRTR3	SUPENDR3	SUPFRQR3	SUPRIDR3	SUPEXPR3	SUPIMR301	SUPIMR302
IN040028	3	12	36	2007	99	1	6	4	2	4
IN040029	1	3	36	2007	99	1	1	5	2	1
IN040029	2	5	45	2005	99	1	2	4	2	4
IN040029	3	16	46	2006	99	1	0	5	4	6
IN040030	1	5	36	2006	99	6	2	4	1	5
IN040030	2	3	36	2007	99	2	1	5	1	5
IN040030	3	16	46	2008	99	6	0	5	6	2
IN040031	1	5	36	2006	99	6	5	3	1	2
IN040031	2	3	36	2007	99	2	2	5	2	88
IN040031	3	16	44	2006	99	1	0	5	2	4
IN040032	1	3	36	2006	99	3	80	4	5	2
IN040032	2	5	45	2007	99	6	4	3	2	5
IN040032	3	16	44	2006	99	1	0	4	4	2
IN040034	1	16	36	2007	99	1	0	4	6	2
IN040034	2	5	45	2005	99	8	2	4	4	5
IN040034	3	16	44	2009	99	1	3	4	4	2
