CHILDID	LOANID	GAVCRDR3	TKEOUTR3	AMTCRDR3	LOANMTR3	LOANYRR3	LNOLSTR3	PYBACKR3	AMTPAYR3	MTLASTR3	YRLASTR3	NOBACKR3	WHORCVR3
ET201005	1	8	7	1000	3	2001	12	1	1000	88	 	12	2
ET201005	2	8	2	1000	1	2000	77	1	1000	88	 	12	2
ET201009	1	1	1	2000	5	1999	60	1	500	5	2001	88	2
ET201009	2	2	1	375	10	2001	8	1	0	88	 	88	1
ET201009	3	2	1	300	10	2000	6	0	300	4	2001	88	1
ET201009	5	2	1	400	10	1998	6	0	450	4	1999	88	1
ET201010	1	7	1	2000	12	2000	60	1	0	88	 	88	1
ET201015	1	2	1	1400	5	1998	60	1	1100	4	2001	88	1
ET201018	1	1	19	1000	3	1999	36	0	1000	3	2000	88	1
ET201018	2	7	1	2000	1	2000	60	1	0	88	 	88	2
ET201021	1	7	1	2000	4	1999	60	1	0	88	 	6	1
ET201021	2	5	1	1500	4	2000	24	1	0	88	 	12	1
ET201023	1	7	1	4000	9	2000	48	1	0	88	 	11	1
ET201024	1	7	1	700	5	1999	48	1	0	88	 	11	1
ET201027	1	7	1	2000	3	2000	48	1	0	88	 	11	1
ET201028	1	7	2	2000	8	2000	36	1	0	88	 	88	17
ET201032	1	3	1	1	8	2000	77	1	88	88	 	12	1
ET201036	1	2	1	1830	12	2000	60	1	200	3	2002	88	1
ET201038	1	1	2	500	7	2000	48	1	0	88	 	88	1
ET201039	1	7	1	2000	9	2000	36	0	2500	9	2002	88	1
ET201040	1	7	1	3000	6	2000	24	1	0	88	 	9	1
ET201044	1	7	14	4100	8	2000	48	1	0	88	 	88	1
ET201047	1	1	1	3000	5	1999	36	0	3000	5	2001	88	1
ET201049	1	7	1	2400	9	1997	48	1	1950	9	2001	6	2
