CHILDCODE	SIBFNDR5	DINT	SIBWGHBR	SIBWGDOC	ENRSIBR5	SIBCARR5	SIBDOMR5	SIBFRMR5	SIBOUTR5	SIBPARR5	SIB20R5	FEAS01R5	FEAS02R5	FEAS03R5	FEAS04R5	FEAS05R5	FEAS06R5	FEAS07R5	FEAS08R5	FEAS09R5	FEAS10R5	FEAS11R5	FEAS12R5	FEAS13R5	FEAS14R5	FEAS15R5	FEAS16R5	FEAS17R5	FEAS18R5	FEAS19R5	FEAS20R5	FEAS21R5	FEAS22R5	FEAS23R5	FEAS24R5	SASHCLR5	SASHWKR5	SPLDECR5	SNOCHCR5	SCLTRGR5	STRYHDR5	SFTRWRR5	SEMBBKR5	SASHSHR5	SBRJOBR5	SWRUNIR5
10084	1	16/11/2016 18:36:49	 	 	0	0	0	0	0	1	0	3	3	2	3	2	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	 	3	 	4	4	4	4	4	77	77
10087	1	21/11/2016 17:17:19	 	 	1	1	1	0	1	1	0	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	4	3	4	4	5	2	3	5	3
10088	1	20/11/2016 17:27:01	 	 	1	0	1	1	0	1	0	3	4	3	3	3	3	2	3	2	2	3	3	2	4	4	2	3	3	2	3	2	3	3	3	3	3	4	3	3	4	4	3	3	4	4
10089	0	18/11/2016 19:40:17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10091	0	22/11/2016 12:03:15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10092	1	11/03/2017 16:57:32	 	 	1	0	1	0	0	1	0	3	4	3	3	3	4	3	3	3	3	3	3	3	3	3	4	3	3	3	3	2	3	3	3	4	3	3	3	4	5	4	4	4	5	4
10093	1	25/12/2016 11:31:03	 	 	1	0	1	0	0	1	0	3	4	3	3	3	4	3	4	3	3	3	3	3	3	4	2	3	3	2	3	3	3	4	3	4	4	2	2	4	4	4	4	4	4	4
10094	0	23/11/2016 11:05:43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10095	1	16/11/2016 12:14:45	 	 	1	0	0	0	0	1	0	3	4	2	3	2	4	77	3	3	77	3	2	3	4	3	3	3	3	3	3	2	3	3	2	3	 	4	 	2	4	4	4	3	4	4
10097	1	23/11/2016 10:34:23	 	 	1	0	1	0	0	1	0	3	3	3	3	3	3	3	3	3	3	3	4	3	3	4	3	3	3	3	4	3	3	4	4	4	4	1	1	4	5	4	4	4	5	4
10100	0	15/11/2016 11:51:57	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10104	1	07/11/2016 10:03:01	 	 	1	0	0	0	0	1	0	3	4	2	3	79	3	2	3	3	4	3	2	77	77	3	2	3	77	4	3	1	79	3	77	4	 	3	 	2	5	4	5	3	4	3
10118	1	16/12/2016 13:25:46	 	 	1	0	1	1	0	1	0	3	4	2	3	3	3	3	2	3	3	3	3	2	3	3	3	3	3	3	3	4	3	2	3	4	4	4	4	4	4	4	4	4	4	4
10121	1	07/11/2016 16:25:35	 	 	1	0	1	0	0	1	0	3	2	4	3	4	2	3	3	3	3	3	3	4	3	4	3	4	3	3	3	3	3	3	3	3	3	4	3	4	5	5	4	4	5	4
10122	1	22/11/2016 15:51:41	 	 	0	0	1	0	1	1	1	3	 	3	3	2	 	2	 	3	3	 	3	3	3	 	3	 	3	3	 	2	4	 	4	3	3	2	2	3	5	5	5	 	4	 
10140	0	09/11/2016 12:00:09	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20001	1	08/12/2016 10:56:00	 	 	1	1	1	0	0	1	0	3	4	3	3	3	4	3	3	3	3	4	3	3	3	3	2	2	3	3	3	3	3	3	3	3	3	4	3	3	5	4	4	4	5	4
20002	0	29/11/2016 17:20:56	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
