CHILDCODE	IMEVIDR5	RKEVR5	PR2013R5	PR2014R5	PR2015R5	PR2016R5
78043	1	98	 	 	 	 
78043	2	98	 	 	 	 
78043	3	98	 	 	 	 
78044	1	98	 	 	 	 
78044	2	98	 	 	 	 
78044	3	98	 	 	 	 
78045	1	98	 	 	 	 
78045	2	98	 	 	 	 
78045	3	98	 	 	 	 
78046	1	39	 	 	 	4
78046	2	98	 	 	 	 
78046	3	98	 	 	 	 
78047	1	98	 	 	 	 
78047	2	98	 	 	 	 
78047	3	98	 	 	 	 
78048	1	12	 	 	3	3
78048	2	98	 	 	 	 
78048	3	98	 	 	 	 
78049	1	98	 	 	 	 
78049	2	98	 	 	 	 
78049	3	98	 	 	 	 
78051	1	98	 	 	 	 
78051	2	98	 	 	 	 
78051	3	98	 	 	 	 
78052	1	98	 	 	 	 
78052	2	98	 	 	 	 
78052	3	98	 	 	 	 
88001	1	98	 	 	 	 
88001	2	98	 	 	 	 
88001	3	98	 	 	 	 
88002	1	98	 	 	 	 
88002	2	98	 	 	 	 
88002	3	98	 	 	 	 
88003	1	37	4	 	 	 
88003	2	98	 	 	 	 
88003	3	98	 	 	 	 
88004	1	98	 	 	 	 
88004	2	98	 	 	 	 
88004	3	98	 	 	 	 
88005	1	98	 	 	 	 
88005	2	98	 	 	 	 
88005	3	98	 	 	 	 
88007	1	98	 	 	 	 
88007	2	98	 	 	 	 
88007	3	98	 	 	 	 
88008	1	98	 	 	 	 
88008	2	98	 	 	 	 
88008	3	98	 	 	 	 
88010	1	98	 	 	 	 
88010	2	98	 	 	 	 
88010	3	98	 	 	 	 
88011	1	98	 	 	 	 
88011	2	98	 	 	 	 
88011	3	98	 	 	 	 
88012	1	38	2	3	4	4
88012	2	98	 	 	 	 
88012	3	98	 	 	 	 
88013	1	41	3	3	3	3
88013	2	98	 	 	 	 
88013	3	98	 	 	 	 
88014	1	13	 	 	 	3
88014	2	98	 	 	 	 
88014	3	98	 	 	 	 
88015	1	69	4	 	 	 
88015	2	98	 	 	 	 
88015	3	98	 	 	 	 
88016	1	45	 	3	3	2
88016	2	98	 	 	 	 
88016	3	98	 	 	 	 
88017	1	98	 	 	 	 
88017	2	98	 	 	 	 
88017	3	98	 	 	 	 
88020	1	38	 	 	4	 
88020	2	98	 	 	 	 
88020	3	98	 	 	 	 
88021	1	98	 	 	 	 
88021	2	98	 	 	 	 
88021	3	98	 	 	 	 
88022	1	5	 	 	 	4
88022	2	98	 	 	 	 
88022	3	98	 	 	 	 
88023	1	32	 	 	 	4
88023	2	39	 	 	 	4
88023	3	45	 	4	 	 
88024	1	39	 	2	 	 
88024	2	98	 	 	 	 
88024	3	98	 	 	 	 
88025	1	98	 	 	 	 
88025	2	98	 	 	 	 
88025	3	98	 	 	 	 
88026	1	98	 	 	 	 
88026	2	98	 	 	 	 
88026	3	98	 	 	 	 
88027	1	98	 	 	 	 
88027	2	98	 	 	 	 
88027	3	98	 	 	 	 
88029	1	98	 	 	 	 
88029	2	98	 	 	 	 
88029	3	98	 	 	 	 
88031	1	38	4	4	4	4
88031	2	98	 	 	 	 
88031	3	98	 	 	 	 
98001	1	2	 	 	 	2
98001	2	98	 	 	 	 
98001	3	98	 	 	 	 
98006	1	2	 	 	 	4
98006	2	40	3	 	 	 
98006	3	98	 	 	 	 
98007	1	98	 	 	 	 
98007	2	98	 	 	 	 
98007	3	98	 	 	 	 
98008	1	39	 	 	 	2
98008	2	5	 	 	 	2
98008	3	98	 	 	 	 
98010	1	98	 	 	 	 
98010	2	98	 	 	 	 
98010	3	98	 	 	 	 
98011	1	98	 	 	 	 
98011	2	98	 	 	 	 
98011	3	98	 	 	 	 
98012	1	98	 	 	 	 
98012	2	98	 	 	 	 
98012	3	98	 	 	 	 
98013	1	45	 	 	4	 
98013	2	98	 	 	 	 
98013	3	98	 	 	 	 
98014	1	98	 	 	 	 
98014	2	98	 	 	 	 
98014	3	98	 	 	 	 
98016	1	39	 	 	 	4
98016	2	98	 	 	 	 
98016	3	98	 	 	 	 
98018	1	98	 	 	 	 
98018	2	98	 	 	 	 
98018	3	98	 	 	 	 
98020	1	39	 	2	 	 
98020	2	98	 	 	 	 
98020	3	98	 	 	 	 
98022	1	36	 	 	1	 
98022	2	98	 	 	 	 
98022	3	98	 	 	 	 
98023	1	98	 	 	 	 
98023	2	98	 	 	 	 
98023	3	98	 	 	 	 
98024	1	98	 	 	 	 
98024	2	98	 	 	 	 
98024	3	98	 	 	 	 
98025	1	24	 	 	 	4
98025	2	2	 	 	 	3
98025	3	62	 	 	 	3
98026	1	98	 	 	 	 
98026	2	98	 	 	 	 
98026	3	98	 	 	 	 
98028	1	41	 	 	2	 
98028	2	98	 	 	 	 
98028	3	98	 	 	 	 
98029	1	24	 	 	 	4
98029	2	31	 	 	 	3
98029	3	98	 	 	 	 
108001	1	38	 	 	3	 
108001	2	98	 	 	 	 
108001	3	98	 	 	 	 
108002	1	98	 	 	 	 
108002	2	98	 	 	 	 
108002	3	98	 	 	 	 
108003	1	98	 	 	 	 
108003	2	98	 	 	 	 
108003	3	98	 	 	 	 
108004	1	20	 	 	4	 
108004	2	39	4	 	 	 
108004	3	63	 	 	4	4
108006	1	98	 	 	 	 
108006	2	98	 	 	 	 
108006	3	98	 	 	 	 
108007	1	38	4	3	3	4
108007	2	98	 	 	 	 
108007	3	98	 	 	 	 
108008	1	45	 	 	4	 
108008	2	98	 	 	 	 
108008	3	98	 	 	 	 
108009	1	39	 	 	4	4
108009	2	98	 	 	 	 
108009	3	98	 	 	 	 
108011	1	98	 	 	 	 
108011	2	98	 	 	 	 
108011	3	98	 	 	 	 
108012	1	36	 	4	 	 
108012	2	98	 	 	 	 
108012	3	98	 	 	 	 
108013	1	98	 	 	 	 
108013	2	98	 	 	 	 
108013	3	98	 	 	 	 
108015	1	35	 	 	 	4
108015	2	36	 	 	4	 
108015	3	45	 	 	 	4
108016	1	98	 	 	 	 
108016	2	98	 	 	 	 
108016	3	98	 	 	 	 
108017	1	98	 	 	 	 
108017	2	98	 	 	 	 
108017	3	98	 	 	 	 
108020	1	1	 	3	 	 
108020	2	45	 	 	 	2
108020	3	98	 	 	 	 
108021	1	98	 	 	 	 
108021	2	98	 	 	 	 
108021	3	98	 	 	 	 
108022	1	1	4	 	 	 
108022	2	98	 	 	 	 
108022	3	98	 	 	 	 
108023	1	38	4	 	 	 
108023	2	98	 	 	 	 
108023	3	98	 	 	 	 
108024	1	69	4	 	 	 
108024	2	98	 	 	 	 
108024	3	98	 	 	 	 
108025	1	20	 	2	 	 
108025	2	12	 	3	 	 
108025	3	98	 	 	 	 
108026	1	98	 	 	 	 
108026	2	98	 	 	 	 
108026	3	98	 	 	 	 
108027	1	98	 	 	 	 
108027	2	98	 	 	 	 
108027	3	98	 	 	 	 
108028	1	98	 	 	 	 
108028	2	98	 	 	 	 
108028	3	98	 	 	 	 
108029	1	39	 	 	 	4
108029	2	98	 	 	 	 
108029	3	98	 	 	 	 
118001	1	69	 	3	 	 
118001	2	98	 	 	 	 
118001	3	98	 	 	 	 
118002	1	98	 	 	 	 
118002	2	98	 	 	 	 
118002	3	98	 	 	 	 
118003	1	45	4	 	 	 
118003	2	98	 	 	 	 
118003	3	98	 	 	 	 
118004	1	98	 	 	 	 
118004	2	98	 	 	 	 
118004	3	98	 	 	 	 
118005	1	20	 	 	 	4
118005	2	12	 	 	 	4
118005	3	98	 	 	 	 
118006	1	45	 	4	 	 
118006	2	98	 	 	 	 
118006	3	98	 	 	 	 
118007	1	41	 	 	 	4
118007	2	37	 	 	 	4
118007	3	39	 	 	 	4
118009	1	98	 	 	 	 
118009	2	98	 	 	 	 
118009	3	98	 	 	 	 
118010	1	98	 	 	 	 
118010	2	98	 	 	 	 
118010	3	98	 	 	 	 
118011	1	2	 	 	2	 
118011	2	98	 	 	 	 
118011	3	98	 	 	 	 
118013	1	2	 	4	 	 
118013	2	98	 	 	 	 
118013	3	98	 	 	 	 
118014	1	98	 	 	 	 
118014	2	98	 	 	 	 
118014	3	98	 	 	 	 
118015	1	98	 	 	 	 
118015	2	98	 	 	 	 
118015	3	98	 	 	 	 
118017	1	29	 	 	4	 
118017	2	27	 	 	3	 
118017	3	24	 	 	 	3
118018	1	45	 	 	4	 
118018	2	98	 	 	 	 
118018	3	98	 	 	 	 
118020	1	98	 	 	 	 
118020	2	98	 	 	 	 
118020	3	98	 	 	 	 
118022	1	62	 	4	 	 
118022	2	69	4	 	 	4
118022	3	98	 	 	 	 
118023	1	98	 	 	 	 
118023	2	98	 	 	 	 
118023	3	98	 	 	 	 
118024	1	98	 	 	 	 
118024	2	98	 	 	 	 
118024	3	98	 	 	 	 
118027	1	41	 	 	3	 
118027	2	98	 	 	 	 
118027	3	98	 	 	 	 
118028	1	62	 	4	 	 
118028	2	98	 	 	 	 
118028	3	98	 	 	 	 
118029	1	98	 	 	 	 
118029	2	98	 	 	 	 
118029	3	98	 	 	 	 
118030	1	98	 	 	 	 
118030	2	98	 	 	 	 
118030	3	98	 	 	 	 
128002	1	39	 	 	3	 
128002	2	98	 	 	 	 
128002	3	98	 	 	 	 
128003	1	38	 	4	 	 
128003	2	5	 	 	 	4
128003	3	62	 	4	 	 
128004	1	38	 	4	 	 
128004	2	37	 	4	 	 
128004	3	39	 	 	 	2
128006	1	98	 	 	 	 
128006	2	98	 	 	 	 
128006	3	98	 	 	 	 
128007	1	98	 	 	 	 
128007	2	98	 	 	 	 
128007	3	98	 	 	 	 
128008	1	98	 	 	 	 
128008	2	98	 	 	 	 
128008	3	98	 	 	 	 
128009	1	45	4	4	4	4
128009	2	98	 	 	 	 
128009	3	98	 	 	 	 
128010	1	62	 	 	 	4
128010	2	40	 	1	 	 
128010	3	98	 	 	 	 
