CHILDCODE	HHITMIDR5	OWNITMR5	NUMOWNR5	SLVALR5
10066	5	N	 	 
10066	6	N	 	 
10066	7	N	 	 
10066	8	N	 	 
10066	9	N	 	 
10066	10	N	 	 
10066	11	N	 	 
10066	12	N	 	 
10066	13	N	 	 
10066	14	N	 	 
10066	15	N	 	 
10066	16	N	 	 
10066	17	N	 	 
10066	18	N	 	 
10066	20	N	 	 
10066	21	N	 	 
10067	1	Y	1	20000
10067	2	N	 	 
10067	3	N	 	 
10067	4	N	 	 
10067	5	N	 	 
10067	6	N	 	 
10067	7	Y	4	4000
10067	8	Y	4	650
10067	9	N	 	 
10067	10	N	 	 
10067	11	N	 	 
10067	12	N	 	 
10067	13	Y	1	1200
10067	14	N	 	 
10067	15	N	 	 
10067	16	N	 	 
10067	17	N	 	 
10067	18	N	 	 
10067	20	N	 	 
10067	21	Y	1	1500
10068	1	N	 	 
10068	2	N	 	 
10068	3	N	 	 
10068	4	N	 	 
10068	5	N	 	 
10068	6	N	 	 
10068	7	Y	2	600
10068	8	N	 	 
10068	9	N	 	 
10068	10	N	 	 
10068	11	N	 	 
10068	12	N	 	 
10068	13	N	 	 
10068	14	N	 	 
10068	15	N	 	 
10068	16	N	 	 
10068	17	N	 	 
10068	18	N	 	 
10068	20	N	 	 
10068	21	N	 	 
10069	1	Y	1	3000
10069	2	N	 	 
10069	3	N	 	 
10069	4	N	 	 
10069	5	N	 	 
10069	6	N	 	 
10069	7	Y	2	2000
10069	8	Y	5	500
10069	9	N	 	 
10069	10	N	 	 
10069	11	N	 	 
10069	12	Y	1	4000
10069	13	Y	2	1000
10069	14	N	 	 
10069	15	N	 	 
10069	16	N	 	 
10069	17	N	 	 
10069	18	N	 	 
10069	20	N	 	 
10069	21	N	 	 
10070	1	Y	1	2000
10070	2	Y	1	1500
10070	3	N	 	 
10070	4	N	 	 
10070	5	N	 	 
10070	6	N	 	 
10070	7	Y	4	3000
10070	8	Y	4	200
10070	9	N	 	 
10070	10	N	 	 
10070	11	N	 	 
10070	12	Y	1	5000
10070	13	Y	2	800
10070	14	N	 	 
10070	15	N	 	 
10070	16	N	 	 
10070	17	N	 	 
10070	18	N	 	 
