CHILDCODE	DINT	PRIDRSR5	HHSIZE	HEADID	RESPOND	HEADLANG	CARELANG	CHLDLANG	PECLOC5	PECODPT5	PECODISTR5	PECODIS5	ANTHRHSE5	ANTHRADD5	PECODIS15	PEMUDANZ5	PEUBIC5	PHONE5	PEHPOST5	PEDCVIV5	PEDPAGT5	PEDPOC5	PEDPPA5	CHLDDNI5	TIENDNI5	DOCDNI5	ADDSAME5	CLUSTID5	YLCOMM5	PLACEID5	LINKCMM5	PLACENR5	LONGCOMM5	TRNSCOMM5	MINIADM5	PEMINIID5	TYPESITE5	PEMUDR45
21026	03/09/2016	2	7	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	1	0	0	0	1	1	3	1	 	1	PE02C03	0	 	 	 	0	 	1	0
21027	08/09/2016	1	4	9	1	31	31	31	 	20	 	 	1	1	 	 	1	1	1	1	1	0	0	88	 	 	0	 	1	PE02C02	0	 	 	 	0	 	1	1
21028	09/09/2016	2	7	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	3	1	 	1	PE02C03	0	 	 	 	0	 	1	0
21029	03/09/2016	2	9	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	1	0	0	0	1	1	3	1	 	1	PE02C03	0	 	 	 	0	 	1	0
21030	06/09/2016	2	5	2	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	1	1	0	0	88	 	 	1	 	1	PE02C03	0	 	 	 	0	 	1	0
21031	02/09/2016	2	4	1	2	31	31	31	 	20	 	 	1	1	 	 	3	1	0	 	 	 	 	1	1	1	0	 	0	 	0	 	 	 	1	PE81MC45	1	1
21032	04/09/2016	2	3	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	0	 	 	 	 	88	 	 	1	 	1	PE02C03	0	 	 	 	0	 	1	0
21033	04/09/2016	2	4	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	1	1	0	0	88	 	 	1	 	1	PE02C03	0	 	 	 	0	 	1	0
21034	04/09/2016	2	6	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	1	0	0	0	88	 	 	1	 	1	PE02C03	0	 	 	 	0	 	1	0
21035	05/09/2016	2	4	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	1	1	0	0	88	 	 	1	 	1	PE02C03	0	 	 	 	0	 	1	0
21036	09/09/2016	2	2	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	0	 	 	 	 	88	 	 	1	 	1	PE02C03	0	 	 	 	0	 	1	0
21037	08/09/2016	2	6	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	1	1	 	1	PE02C03	0	 	 	 	0	 	1	0
21038	06/09/2016	2	6	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	0	1	0	0	88	 	 	1	 	1	PE02C03	0	 	 	 	0	 	1	0
