CHILDCODE	HHITMIDR5	OWNITMR5	NUMOWNR5
10072	14	0	 
10072	15	0	 
10072	16	0	 
10072	17	1	1
10072	18	0	 
10072	19	0	 
10072	20	0	 
10073	1	1	1
10073	2	0	 
10073	3	0	 
10073	4	0	 
10073	5	1	1
10073	6	0	 
10073	7	1	2
10073	8	1	2
10073	9	1	1
10073	10	1	2
10073	11	1	1
10073	12	1	1
10073	13	1	1
10073	14	0	 
10073	15	0	 
10073	16	0	 
10073	17	0	 
10073	18	1	1
10073	19	0	 
10073	20	0	 
10074	1	1	1
10074	2	0	 
10074	3	0	 
10074	4	1	1
10074	5	1	2
10074	6	0	 
10074	7	1	2
10074	8	1	4
10074	9	0	 
10074	10	1	3
10074	11	1	3
10074	12	1	1
10074	13	1	1
10074	14	0	 
10074	15	0	 
10074	16	0	 
10074	17	0	 
10074	18	0	 
10074	19	0	 
10074	20	0	 
10075	1	1	1
10075	2	0	 
10075	3	0	 
10075	4	0	 
10075	5	1	1
10075	6	1	1
10075	7	1	2
10075	8	1	2
10075	9	0	 
10075	10	1	4
10075	11	1	3
10075	12	1	1
10075	13	1	1
10075	14	0	 
10075	15	0	 
10075	16	0	 
10075	17	0	 
10075	18	1	1
10075	19	0	 
10075	20	0	 
10076	1	1	1
10076	2	0	 
10076	3	0	 
10076	4	1	1
10076	5	1	1
10076	6	0	 
10076	7	1	3
10076	8	1	3
10076	9	0	 
10076	10	1	3
10076	11	1	1
10076	12	1	1
10076	13	1	1
10076	14	0	 
10076	15	0	 
10076	16	0	 
10076	17	0	 
10076	18	0	 
10076	19	0	 
10076	20	0	 
10077	1	1	1
10077	2	0	 
10077	3	0	 
10077	4	0	 
10077	5	1	1
10077	6	0	 
10077	7	1	2
10077	8	1	2
10077	9	0	 
10077	10	1	1
10077	11	1	1
10077	12	0	 
10077	13	1	1
10077	14	0	 
10077	15	0	 
10077	16	0	 
10077	17	0	 
10077	18	0	 
10077	19	0	 
10077	20	0	 
10079	1	1	1
10079	2	0	 
10079	3	0	 
10079	4	1	1
10079	5	1	1
10079	6	0	 
10079	7	1	2
10079	8	1	3
10079	9	0	 
10079	10	1	2
10079	11	1	2
10079	12	0	 
10079	13	1	1
10079	14	0	 
10079	15	0	 
10079	16	0	 
10079	17	0	 
10079	18	0	 
10079	19	0	 
10079	20	0	 
10080	1	0	 
10080	2	0	 
10080	3	0	 
10080	4	0	 
10080	5	0	 
10080	6	0	 
10080	7	1	1
10080	8	1	3
10080	9	0	 
10080	10	1	2
10080	11	1	1
10080	12	0	 
10080	13	1	1
10080	14	0	 
10080	15	0	 
10080	16	0	 
10080	17	0	 
10080	18	0	 
10080	19	0	 
10080	20	1	1
10081	1	1	1
10081	2	0	 
10081	3	0	 
10081	4	1	2
10081	5	1	1
10081	6	0	 
10081	7	1	3
10081	8	1	3
10081	9	1	1
10081	10	1	3
10081	11	1	3
10081	12	1	1
