CHILDCODE	ASSTIDR5	ASSETR5	NUMASTR5	ASACTR5	NMOWNR5	VLASTR5
70065	2	7	1	11	0	0
70065	3	2	1	11	0	0
70065	4	12	1	11	0	0
70066	1	1	3	11	3	1200
70066	2	7	2	11	2	400000
70066	3	3	1	11	1	2000
70066	4	5	1	11	1	3000
70066	5	30	1	7	1	300000
70067	1	1	3	11	3	800
70067	2	7	1	11	0	0
70067	3	2	1	11	0	0
70068	1	1	2	11	2	700
70068	2	7	1	11	0	0
70068	3	4	1	11	1	2000
70069	1	1	2	11	2	600
70069	2	7	2	11	2	600
70069	3	3	1	11	0	0
70069	4	5	1	11	0	0
70070	1	1	4	11	4	500
70072	1	1	3	11	1	100
70074	1	1	3	11	3	1000
70075	1	1	8	11	6	1200
70076	1	23	5	23	5	8000
70077	1	1	3	11	3	200
70077	2	7	1	11	0	0
70078	1	1	5	11	5	600
70079	1	1	2	11	2	200
70079	2	7	1	11	0	0
70079	3	3	1	11	0	0
70080	1	1	5	11	5	2500
70080	2	7	1	11	1	0
70082	1	24	3	26	3	20000
70083	1	1	5	11	5	700
70084	1	1	6	11	6	1000
70084	2	21	1	21	1	4000
70084	3	25	1	24	1	120000
70085	1	21	2	21	2	4000
70086	1	1	4	11	4	700
70086	2	7	1	11	0	0
70087	1	1	4	11	4	450
70089	1	13	2	7	2	5000
70090	1	23	10	23	4	3500
70090	2	21	1	21	1	2500
70091	1	1	3	11	0	 
70091	2	1	1	29	1	80
70092	1	2	1	11	1	15000
70092	2	4	1	11	1	500
70092	3	1	4	11	4	2000
70093	1	1	3	11	3	1200
70093	2	7	1	11	0	0
70094	1	1	8	11	8	1800
70095	1	1	3	11	3	500
70095	2	3	1	11	0	 
70095	3	7	1	11	0	 
70095	4	23	12	23	12	8000
70096	1	1	4	11	4	1200
70096	3	7	1	11	0	0
70096	4	6	1	11	0	0
70096	5	3	1	11	1	1800
70097	1	13	5	7	5	1500
70097	2	1	6	11	6	700
70097	3	30	2	11	1	18000
70097	4	30	6	11	3	4000
70098	1	15	18	12	18	1200
70099	1	1	3	29	3	1500
70100	1	1	3	11	3	600
70100	2	7	1	11	0	0
70100	3	6	1	11	0	0
70100	4	18	1	11	0	0
70100	5	3	1	11	0	0
70100	6	7	1	11	0	0
80001	1	1	3	11	3	450
80002	1	1	9	11	9	500
80002	2	7	1	11	1	400000
80002	4	21	1	21	1	3000
80003	1	21	1	21	1	4000
80005	1	1	4	11	4	300
80007	1	1	6	11	6	1200
80008	1	1	5	88	5	600
80010	1	1	5	11	5	650
80011	1	1	3	11	3	180
80012	1	1	3	11	2	150
80013	1	1	4	11	4	300
80014	1	1	3	11	3	3
80015	1	30	3	32	3	3
