childid	donfdid	dontypr3	donrcvr3	donamtr3	donmsrr3	donprcr3	prcmsrr3
PE168024	1	10	180	3	9	3	9
PE168025	1	1	12	4	6	1.20000004768372	6
PE168025	2	3	12	1	2	3	2
PE168025	3	10	80	1	9	1.5	9
PE178002	1	3	2	1	2	4	2
PE178002	2	1	2	9	6	2.59999990463257	6
PE178002	3	1	55	1	8	1	8
PE178002	4	9	75	1	7	.300000011920929	7
PE178004	1	10	72	6	5	6	5
PE178011	1	1	4	12	6	1.5	6
PE178011	2	3	4	2	2	2	2
PE178011	3	10	170	1	9	3	9
PE178019	1	9	140	1	7	.200000002980232	7
PE178020	1	3	4	3	2	2	2
PE178020	2	1	4	5	6	2.5	6
PE178021	1	10	150	2	9	6	9
PE178024	1	9	60	1	7	.200000002980232	7
PE178025	1	1	4	8	6	2.79999995231628	6
PE178025	2	9	160	1	7	.5	7
PE178025	3	10	100	1	5	1.5	5
PE178026	1	1	3	6	6	2.79999995231628	6
PE178027	1	1	4	8	6	2.5	6
PE178027	2	3	4	3	2	4	2
PE178029	1	1	6	8	6	2.5	6
PE178029	2	10	120	1	9	2	9
PE178030	1	2	3	3	2	10	2
PE178033	1	10	180	1	9	1	9
PE178035	1	1	4	8	6	2	6
PE178036	1	1	24	 	 	 	 
PE188001	1	2	1	2	3	6	3
PE188001	2	5	1	1	1	6.5	1
PE188001	3	8	1	2	3	3	3
PE188007	1	1	12	8	1	1.5	1
PE188007	2	9	340	2	7	.5	7
PE188007	3	1	340	2	8	.5	8
PE188007	4	8	12	2	2	2	2
PE188007	5	5	12	1	1	6.5	1
PE188008	1	1	12	4	1	1.5	1
PE188012	1	1	120	2	8	.5	8
PE188012	2	9	120	2	7	.300000011920929	7
PE188013	1	9	170	6	7	.699999988079071	7
PE188013	2	1	170	6	8	1	8
PE188015	1	1	140	1	8	1	8
PE188015	2	9	140	1	7	.200000002980232	7
PE188017	1	9	240	2	7	.200000002980232	7
PE188017	2	1	240	2	8	.200000002980232	8
PE188017	3	10	100	1	9	.699999988079071	9
PE188018	1	10	320	1	5	.800000011920929	5
PE188018	2	1	320	1	8	1	8
PE188019	1	1	12	10	1	1.5	1
PE188022	1	1	180	1	8	.5	8
PE188022	2	9	180	1	7	.200000002980232	7
PE188024	1	1	130	1	8	.5	8
PE188024	2	1	12	5	1	1.5	1
PE188024	3	9	150	1	7	.300000011920929	7
PE188025	1	1	2	2	2	1.5	2
PE188025	2	5	1	2	1	5	1
PE198003	1	1	3	1	3	1	3
PE198004	1	3	12	1	2	1	2
PE198004	2	1	12	5	6	2	6
PE198010	1	1	12	1	2	1.5	2
PE198014	1	1	12	1	1	3	1
PE198014	2	4	6	2	2	2	2
PE198014	3	8	6	2	2	2.79999995231628	2
PE198014	4	5	6	1	1	6	1
PE198014	5	6	6	1	4	1.5	4
PE198015	1	1	2	2	2	3	2
PE198017	1	6	6	2	2	4	2
PE208017	1	3	3	1	2	3	2
PE208017	2	1	3	4	4	1.5	4
PE208021	1	3	1	2	4	4	4
PE208021	2	1	1	2	1	2.5	1
PE208022	1	1	4	4	1	2.20000004768372	1
PE208022	2	8	4	1	2	3.5	2
PE208022	3	1	60	1	8	1	8
PE208022	4	9	60	1	7	.200000002980232	7
PE208030	1	3	6	1	2	1.79999995231628	2
PE208030	2	1	6	3	6	2.79999995231628	6
PE208048	1	1	70	1	8	.5	8
PE208048	2	9	70	1	7	.300000011920929	7
