childid	orgid	orgcode	orgyrs	orgmths
PE091029	1	6	5	0
PE091029	2	12	1	0
PE091030	1	6	4	0
PE091030	2	11	6	0
PE091030	3	12	1	0
PE091032	1	6	6	0
PE091032	2	11	1	0
PE091033	1	6	4	0
PE091033	2	13	0	8
PE091034	1	6	9	0
PE091034	2	11	3	0
PE091034	3	12	2	0
PE091035	1	6	5	0
PE091035	2	12	1	0
PE091036	1	6	4	0
PE091036	2	13	0	7
PE091037	1	6	7	0
PE091038	1	6	10	0
PE091039	1	6	13	0
PE091039	2	13	5	0
PE091040	1	6	15	0
PE091041	1	6	18	0
PE091041	2	13	5	0
PE091042	1	6	0	0
PE091043	1	6	12	0
PE091043	2	11	2	0
PE091044	1	6	7	0
PE091044	2	11	2	0
PE091045	1	6	10	0
PE091046	1	6	2	0
PE091046	2	11	1	0
PE091047	1	6	21	0
PE091048	1	6	4	10
PE091048	2	12	0	8
PE091049	1	6	10	0
PE091049	2	13	2	0
PE091049	3	12	2	0
PE091050	1	6	12	0
PE091051	1	6	9	0
PE091052	1	6	8	0
PE091052	2	11	2	0
PE091053	1	6	5	0
PE091054	1	6	11	0
PE091054	2	11	2	0
PE091054	3	12	1	0
PE091055	1	6	0	6
PE091055	2	11	0	8
PE091056	1	6	4	0
PE091057	1	6	11	0
PE091058	1	6	9	0
PE091058	2	11	3	0
PE091059	1	6	12	0
PE091060	1	6	4	0
PE091061	1	6	6	0
PE091062	1	6	9	0
PE091062	2	13	0	8
PE091063	1	6	5	0
PE091064	1	11	2	0
PE091064	2	6	4	0
PE091065	1	6	7	0
PE091066	1	6	14	0
PE091066	2	13	1	0
PE091067	1	6	5	0
PE091067	2	13	1	0
PE091068	1	6	5	0
PE091068	2	12	1	0
PE091069	1	6	4	0
PE091070	1	11	5	0
PE091071	1	6	10	0
PE091071	2	12	2	0
PE091072	1	6	18	0
PE091073	1	13	0	7
PE091074	1	6	6	0
PE091074	2	13	2	0
PE091075	1	6	5	0
PE091075	2	11	2	0
PE091075	3	12	1	0
PE091076	1	6	5	0
PE091077	1	6	5	0
PE091078	1	6	1	0
PE091078	2	5	1	0
PE091078	3	11	7	0
PE091078	4	12	1	0
PE091079	1	6	6	0
PE091080	1	6	14	0
PE091080	2	13	3	0
PE091081	1	6	3	0
PE091082	1	6	2	3
PE091085	1	11	0	8
PE091085	2	12	0	8
PE091086	1	13	7	0
PE091086	2	6	12	0
PE091087	1	6	6	0
PE091088	1	6	0	2
PE091088	2	11	0	8
PE091088	3	12	0	8
PE091089	1	6	5	0
PE091089	2	13	0	2
PE091090	1	6	4	6
PE091091	1	6	5	0
PE091093	1	6	6	0
PE091094	1	6	5	0
PE091095	1	6	5	0
PE091095	2	12	3	0
PE091096	1	6	5	6
PE091096	2	11	0	3
PE091097	1	6	4	4
PE091097	2	11	1	0
PE091098	1	6	14	0
PE091098	2	5	2	0
PE091099	1	6	22	0
PE091100	1	6	5	0
PE091101	1	6	5	0
PE091102	1	6	5	8
PE091102	2	11	0	3
PE091103	1	6	12	0
PE101001	1	6	1	0
PE101002	1	12	2	0
PE101002	2	6	3	0
PE101004	1	6	5	0
PE101004	2	11	2	0
PE101004	3	12	2	0
PE101006	1	6	4	4
PE101008	1	6	1	0
PE101008	2	11	3	0
PE101009	1	6	1	0
PE101009	2	12	2	0
PE101012	1	11	0	4
PE101013	1	12	7	9
PE101016	1	6	10	0
PE101016	2	8	9	0
PE101017	1	6	5	0
PE101021	1	13	0	2
PE101021	2	10	5	2
PE101026	1	6	3	0
PE101026	2	11	3	0
PE101027	1	6	3	6
PE101027	2	11	2	0
PE101030	1	6	1	0
PE101031	1	13	2	0
PE101032	1	6	5	0
PE101033	1	12	2	0
PE101034	1	6	4	0
PE101036	1	6	4	0
PE101036	2	12	1	0
PE101037	1	6	5	0
PE101037	2	12	1	6
PE101039	1	6	4	0
PE101039	2	11	2	0
PE101040	1	6	6	0
PE101040	2	8	1	0
PE101040	3	12	1	6
PE101041	1	6	0	6
PE101044	1	6	4	0
PE101044	2	13	1	0
PE101046	1	6	2	0
PE101046	2	13	1	0
PE101048	1	6	4	0
PE101048	2	13	2	0
PE101049	1	6	1	0
PE101049	2	13	2	0
PE101050	1	6	5	0
PE101050	2	11	1	0
PE101051	1	6	2	0
PE101051	2	13	1	0
PE101052	1	6	5	0
PE101052	2	13	1	0
PE101054	1	6	5	0
PE101054	2	7	2	0
PE101054	3	13	1	6
PE101055	1	6	9	0
PE101055	2	13	1	0
PE101056	1	6	4	0
PE101056	2	13	1	0
PE101057	1	6	5	0
PE101057	2	12	1	0
PE101058	1	6	5	8
PE101058	2	13	2	0
PE101059	1	6	5	0
PE101059	2	12	0	9
PE101061	1	6	3	0
PE101062	1	6	4	0
PE101062	2	11	5	0
PE101062	3	12	1	0
PE101064	1	6	1	0
PE101065	1	6	6	0
PE101066	1	6	5	0
PE101066	2	11	0	3
PE101067	1	11	1	0
PE101067	2	12	1	0
PE101069	1	11	2	6
PE101070	1	6	5	0
PE101071	1	5	1	0
PE101073	1	6	5	0
PE101073	2	12	1	0
PE101074	1	6	5	3
PE101077	1	6	5	5
PE101078	1	6	4	11
PE101078	2	12	1	0
PE101079	1	6	4	0
PE101080	1	6	5	6
PE101081	1	6	7	0
PE101082	1	6	12	0
PE101083	1	6	3	0
PE101083	2	13	2	0
PE101084	1	6	4	0
PE101086	1	6	5	0
PE101087	1	6	5	6
PE101088	1	6	6	0
PE101088	2	13	3	0
PE101089	1	6	4	0
PE101092	1	6	5	0
PE101092	2	12	1	0
PE101094	1	11	3	0
PE101096	1	6	7	0
PE101096	2	11	3	0
PE101098	1	6	2	0
PE101102	1	6	5	6
PE101103	1	11	0	9
PE101104	1	12	1	0
PE111002	1	6	10	0
PE111003	1	6	5	0
PE111004	1	13	0	4
PE111005	1	6	6	0
PE111006	1	6	3	0
PE111007	1	6	4	0
PE111008	1	6	5	2
PE111009	1	6	3	0
PE111010	1	6	4	0
PE111011	1	6	5	4
PE111012	1	6	1	0
PE111013	1	6	4	0
PE111014	1	6	8	0
PE111015	1	6	5	0
PE111016	1	6	10	0
