CHILDCODE	SRMNIDR5	SRCRECR5	RCVLSTR5	OFTRCVR5	RCVAMTR5
31094	1	1	200	5	1000
31094	2	1	250	6	1500
31094	3	0	 	 	 
31095	1	1	200	6	1200
31095	2	0	 	 	 
31095	3	0	 	 	 
31096	1	1	4	200	800
31096	2	0	 	 	 
31096	3	0	 	 	 
31097	1	1	200	6	1200
31097	2	0	 	 	 
31097	3	0	 	 	 
31098	1	1	200	6	1200
31098	2	1	500	6	3000
31098	3	0	 	 	 
31099	1	0	 	 	 
31099	2	0	 	 	 
31099	3	0	 	 	 
31100	1	0	 	 	 
31100	2	0	 	 	 
31100	3	0	 	 	 
41001	1	0	 	 	 
41001	2	0	 	 	 
41001	3	0	 	 	 
41002	1	0	 	 	 
41002	2	0	 	 	 
41002	3	0	 	 	 
41003	1	0	 	 	 
41003	2	0	 	 	 
41003	3	0	 	 	 
41004	1	0	 	 	 
41004	2	0	 	 	 
41004	3	0	 	 	 
41005	1	0	 	 	 
41005	2	0	 	 	 
41005	3	0	 	 	 
41006	1	0	 	 	 
41006	2	0	 	 	 
41006	3	0	 	 	 
41007	1	0	 	 	 
41007	2	0	 	 	 
41007	3	0	 	 	 
41008	1	0	 	 	 
41008	2	0	 	 	 
41008	3	0	 	 	 
41009	1	0	 	 	 
41009	2	0	 	 	 
41009	3	0	 	 	 
41010	1	0	 	 	 
41010	2	0	 	 	 
41010	3	0	 	 	 
41011	1	1	200	2	400
41011	2	0	 	 	 
41011	3	0	 	 	 
41012	1	1	200	6	1200
41012	2	0	 	 	 
41012	3	0	 	 	 
41013	1	1	200	6	1200
41013	2	0	 	 	 
41013	3	0	 	 	 
41014	1	1	200	4	800
41014	2	0	 	 	 
41014	3	0	 	 	 
41015	1	0	 	 	 
41015	2	0	 	 	 
41015	3	0	 	 	 
41016	1	0	 	 	 
41016	2	0	 	 	 
41016	3	0	 	 	 
41017	1	0	 	 	 
41017	2	0	 	 	 
41017	3	0	 	 	 
41018	1	1	200	6	1200
41018	2	0	 	 	 
41018	3	0	 	 	 
41019	1	1	200	6	1200
41019	2	0	 	 	 
41019	3	0	 	 	 
41020	1	1	200	5	1000
41020	2	0	 	 	 
41020	3	1	17	1	17
41021	1	0	 	 	 
41021	2	0	 	 	 
41021	3	0	 	 	 
41022	1	1	200	6	1200
41022	2	0	 	 	 
41022	3	0	 	 	 
41023	1	0	 	 	 
41023	2	0	 	 	 
41023	3	0	 	 	 
41024	1	0	 	 	 
41024	2	0	 	 	 
41024	3	0	 	 	 
41025	1	1	200	6	1200
41025	2	0	 	 	 
41025	3	0	 	 	 
41026	1	0	 	 	 
41026	2	0	 	 	 
41026	3	0	 	 	 
41027	1	0	 	 	 
41027	2	0	 	 	 
41027	3	0	 	 	 
41028	1	0	 	 	 
41028	2	0	 	 	 
41028	3	0	 	 	 
41029	1	1	200	6	1200
41029	2	0	 	 	 
41029	3	0	 	 	 
41030	1	1	200	6	1200
41030	2	0	 	 	 
41030	3	0	 	 	 
41031	1	1	200	6	1200
41031	2	0	 	 	 
41031	3	0	 	 	 
41032	1	1	200	4	800
41032	2	0	 	 	 
41032	3	0	 	 	 
41033	1	1	200	6	1200
41033	2	0	 	 	 
41033	3	0	 	 	 
41034	1	0	 	 	 
41034	2	0	 	 	 
41034	3	0	 	 	 
41035	1	0	 	 	 
41035	2	0	 	 	 
41035	3	0	 	 	 
41036	1	1	200	6	1200
41036	2	0	 	 	 
41036	3	0	 	 	 
41037	1	0	 	 	 
41037	2	0	 	 	 
41037	3	0	 	 	 
41038	1	1	200	6	1200
41038	2	0	 	 	 
41038	3	0	 	 	 
41039	1	1	200	6	1200
41039	2	0	 	 	 
41039	3	0	 	 	 
41040	1	1	200	6	1200
41040	2	0	 	 	 
41040	3	0	 	 	 
41041	1	1	200	6	1200
41041	2	0	 	 	 
41041	3	0	 	 	 
41042	1	1	200	6	1200
41042	2	0	 	 	 
41042	3	0	 	 	 
41043	1	1	200	6	1200
41043	2	0	 	 	 
41043	3	0	 	 	 
41044	1	1	200	6	1200
41044	2	0	 	 	 
41044	3	0	 	 	 
41045	1	0	 	 	 
41045	2	0	 	 	 
41045	3	0	 	 	 
41046	1	1	200	6	1200
41046	2	0	 	 	 
41046	3	0	 	 	 
41047	1	1	200	6	1200
41047	2	0	 	 	 
41047	3	0	 	 	 
41048	1	1	200	6	1200
41048	2	0	 	 	 
41048	3	0	 	 	 
41049	1	1	200	6	1200
41049	2	0	 	 	 
41049	3	0	 	 	 
41050	1	1	200	6	1200
41050	2	0	 	 	 
41050	3	0	 	 	 
41051	1	0	 	 	 
41051	2	0	 	 	 
41051	3	0	 	 	 
41052	1	1	200	6	1200
41052	2	0	 	 	 
41052	3	0	 	 	 
