CHILDCODE	ACTIDR4	ACTR4	ACTOWNR4	ACTMTHR4	ACTWEKR4	ACTHRSR4	PYMRECR4	ERNCSHR4	ERNKNDR4	HWPAIDR4	PDPCPRR4	PRFACTR4	MTHPRFR4
41024	1	10	2	2	30	2	0	 	 	 	 	0	 
41024	2	12	3	1	24	1	1	450	 	4	 	1	12
41024	3	88	 	 	 	 	 	 	 	 	 	 	 
41025	1	88	 	 	 	 	 	 	 	 	 	 	 
41025	2	88	 	 	 	 	 	 	 	 	 	 	 
41025	3	88	 	 	 	 	 	 	 	 	 	 	 
41026	1	12	3	2	29	8	1	2500	 	4	 	0	 
41026	2	88	 	 	 	 	 	 	 	 	 	 	 
41026	3	88	 	 	 	 	 	 	 	 	 	 	 
41027	1	12	3	2	5	11	1	70	 	2	 	0	 
41027	2	88	 	 	 	 	 	 	 	 	 	 	 
41027	3	88	 	 	 	 	 	 	 	 	 	 	 
41028	1	12	3	12	25	12	1	2500	 	4	 	1	12
